Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun dia unparatodos semana feliz uncolombia conoce mas orgulloun video noche unimedios 
 terminar dia invitamos conocer prototipo impresora braille unmedellin video labelurl feliz noche  ; j : 87. Sim : 0.43876255; No similar. 
 felizmiercoles comunidadun bienvenidos nuevo dia mejor deseamos gran dia unparatodos somosun  ; j : 88. Sim : 0.5250485; Baja. 
 hoy gran dia hoy dia afrocolombianidad celebramos toda comunidadun feliz dia labelurl  ; j : 89. Sim : 0.59707695; Baja. 
 terminemos dia conociendo mas software interactivo museo samoga unmanizales labelurl feliz noche  ; j : 90. Sim : 0.5203002; Baja. 
 programateun visita filbo2017 fin semana conoce nuevos productos tiendaun feliz sabado p labelurl  ; j : 91. Sim : 0.5012808; Baja. 
 comunidadun despues gran fin semana esperamos felizmartes sigue acompanandonos informacion unparato; j : 92. Sim : 0.5835323; Baja. 
 comunidadun conoce nueva coleccion tiendaun stand 103 uncolombia feria libro pabellon labelurl  ; j : 93. Sim : 0.28109977; No similar. 
 ten cuenta desconectar cargador celular portatil vez termines cargarlos ahorraun conecta labelurl  ; j : 94. Sim : 0.33762926; No similar. 
 comunidadun fin semana visita filbo2017 conoce stand uncolombia antojate nuevos pr labelurl  ; j : 95. Sim : 0.5211127; Baja. 
 comunidadun terminamos lunes deseandoles mejor ultima semana ano 2016 felices vacaciones p labelurl; j : 96. Sim : 0.61226463; Baja. 
 edicion 112 eleafitense conozcan primera mujer logra premio biblioteca narrativa colombian labelurl; j : 97. Sim : 0.13432749; No similar. 
 buenos dias comunidadun bienvenidos nueva semana campus universidad uncolombia somosun felizlunes  ; j : 98. Sim : 0.59632766; Baja. 
 dejen escribir siempre seran necesarios cuentos relatos patricia engel pbnc haymedellin17  ; j : 99. Sim : 0.23354365; No similar. 
 feliz comienzo semana comunidadun esperamos gran dia mejor semana campus universidad  ; j : 100. Sim : 0.63464826; Baja. 
 iii premio biblioteca narrativa colombiana mayoria obra vida patricia engel pbnc labelurl  ; j : 101. Sim : 0.18982448; No similar. 
 buenos dias unparatodos gracias nuevos seguidores ser parte gran comunidadun somosun  ; j : 102. Sim : 0.40771472; No similar. 
 angustia vivimos provincia trasladamos ustedes dejen solo padre antun ramos lapazesposible  ; j : 103. Sim : 0.24905251; No similar. 
 informacion unparatodos puedes ver leer escuchar boletinun labelurl untelevision 985unradio unimedi; j : 104. Sim : 0.33677652; No similar. 
 rt filbogota iniciamos seminario internacional derechos autor marco filbo2017 derechodeautor camlib; j : 105. Sim : 0.15754066; No similar. 
 felizmiercoles comenzar dia gracias toda comunidadun hacer parte rede sociales unparatodos  ; j : 106. Sim : 0.41881287; No similar. 
 comunidadun deseamos mejor noche jueves manana regresaremos mas unparatodos feliz noche labelurl  ; j : 107. Sim : 0.70866185; Media. 
 jurado pbnc definio semifinalistas premio mejor libro publicado colombianos ultimo ano labelurl  ; j : 108. Sim : 0.2187925; No similar. 
 rt orinoquiaceo proposito gira productores maranon entidades apoyo puerto carreno vichada embrapa l; j : 109. Sim : 0.17852409; No similar. 
 reconciliacion significa podamos hacer compromiso dirimir diferencias manera constructiva frankpear; j : 110. Sim : 0.13801543; No similar. 
 feliz noche comunidadun esperamos sido gran inicio semana universidad unparatodos somosun  ; j : 111. Sim : 0.6328219; Baja. 
 gustaria aprender competir siglo xxi buena gerenciamanana conferencia ernst pfeifer fr labelurl  ; j : 112. Sim : 0.19506732; No similar. 
 terminar dia invitamos conocer mas nueva agenda cultural manizales unmanizales labelurl culturaun  ; j : 113. Sim : 0.42254966; No similar. 
 buenviernes comenzar dia queremos decir gracias acompanarnos 2016 ser parte comunidadun  ; j : 114. Sim : 0.41205063; No similar. 
 rt biblioeafit juliana restrepo autora corriente estara miercoles club lectura biblioteca eafit lab; j : 115. Sim : 0.3087429; No similar. 
 rt unisabanaradio hora davidbc mathiastransla isabella4199 reportan sucede concierto cumpleanos 37 ; j : 116. Sim : 0.40099543; No similar. 
 hoy filbogota presentacion libros cabos sueltos lectura pecado capital pasos escorpion  ; j : 117. Sim : 0.36362094; No similar. 
 rectores g8 solidarizan udea rechazan uso indebido espacios academicos ver mas labelurl  ; j : 118. Sim : 0.15994012; No similar. 
 rt elmundomedellin mas pequenos tambien montan bicicletas desfile bicicletas clasicas feriadelasflo; j : 119. Sim : 0.31142256; No similar. 
 queremos contarte vamos receso semanasanta volveremos ver 17 abril feliz semana labelurl  ; j : 120. Sim : 0.42967778; No similar. 
 feliznoche comunidadun esperamos sido gran dia manana regresaremos mas universidad unparatodos  ; j : 121. Sim : 0.5197687; Baja. 
 continuan conversatorios mesita noche esperamos jueves 27 abril sala audicion musical 6 labelurl  ; j : 122. Sim : 0.55452836; Baja. 
 feliz noche comunidadun esperamos sido gran dia manana esperamos mas unparatodos labelurl  ; j : 123. Sim : 0.63478535; Baja. 
 rt obsdemocracia apoyo procesodepaz depende tan buena aprobacion presidencial segun barometroameric; j : 124. Sim : 0.17639704; No similar. 
 ser mujer indigena lucha diaria victimas racismo estereotipos natasha kanape haymedellin17  ; j : 125. Sim : 0.14336854; No similar. 
 muchas posibilidades influir si organiza comunidad posibilidad influir ciudadanos enorme ep  ; j : 126. Sim : 0.11609845; No similar. 
 stefaherrera saludos gustaria conocer profundidad inquietud puede describirnos caso correo mgomezr2; j : 127. Sim : 0.25292423; No similar. 
 estrategias mejoran profundizan aprendizaje motiva mas exito linda b nilson diadelprofesor urosario; j : 128. Sim : 0.20621866; No similar. 
