Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun dia feliz unparatodos mas conoce semana uncolombia video noche dias 
 conoce mas unimedios conoce red radiofonica escucha unradio 985unradio unradiomedellin labelurl  ; j : 178. Sim : 0.32859346; No similar. 
 comunidadun conoces canal oficial youtube conoce mas unparatodos video labelurl suscibete  ; j : 179. Sim : 0.5063406; Baja. 
 rt obsdemocracia buenviernes invitamos votar nuevo sondeo virtual propuesta refrendacion acuerdopaz; j : 180. Sim : 0.18281926; No similar. 
 espanol colombia bogdan piotrowski nuevo academico numero academia colombiana lengua labelurl  ; j : 181. Sim : 0.2968764; No similar. 
 comunidadun jueves esperamos gran dia manana mas unparatodos feliznoche uncolombia  ; j : 182. Sim : 0.74864906; Media. 
 rt orgulloun centro pensamiento paz lista mundial think tank orgulloun institucionalun labelurl  ; j : 183. Sim : 0.04844766; No similar. 
 findmebyotch buenos dias universidad receso cuentanos si problema persiste saludo  ; j : 184. Sim : 0.5141705; Baja. 
 piedadmaya orgulloun mantillaignacio ramirochm ffchaparro 985unradio unimedios vriun editorialun ci; j : 185. Sim : 0.0711255; No similar. 
 claudia ivonne giraldo jefa editorialeafit dialoga escritores inauguran coleccion letra  ; j : 186. Sim : 0.22460985; No similar. 
 comunidadun extraordinario pasara 24 agosto alista camara parte undiaenlaun info labelurl  ; j : 187. Sim : 0.5648492; Baja. 
 patricia engel gano premio biblioteca narrativa colombiana pbnc obra vida labelurl labelurl  ; j : 188. Sim : 0.15576713; No similar. 
 juanftiti saludos invitamos participar forma voluntaria medida parqueaderos funcionaran pi labelurl; j : 189. Sim : 0.18061073; No similar. 
 enhorabuena bogdan piotrowski tomo posesion academico numero academia colombiana lengua labelurl  ; j : 190. Sim : 0.2550488; No similar. 
 comunidadun salud siempre mas importante cuidala dias dia mundial salud labelurl  ; j : 191. Sim : 0.5878034; Baja. 
 gracias ser parte gran comunidadun feliz fin semana puente somosorgulloun labelurl  ; j : 192. Sim : 0.43380746; No similar. 
 rt grupoargos tourtuitero laboratorio prueban propiedades fisicas nuevos cementos desarrolla filial; j : 193. Sim : 0.13534535; No similar. 
 smoke cessation program experta salud publica rosaria galanti conoce detalles labelurl  ; j : 194. Sim : 0.19947542; No similar. 
 fin semana habra intermitencia servicios informaticos eafit labor mantenimiento solicit labelurl  ; j : 195. Sim : 0.42640817; No similar. 
 conoce tres cartillas fortalecen lucha ataques quimicos colombia publicadas urosario labelurl  ; j : 196. Sim : 0.26074916; No similar. 
 rt donjuancampo sacar pecho trabajas empresa ademas forma mejores personas pais u  ; j : 197. Sim : 0.28295073; No similar. 
 lugares visto alto riesgo actores disuelvan grupos criminales diferentes tpaffenholz  ; j : 198. Sim : 0.090682186; No similar. 
 rt periodiconexos esperamos proxima semana plazoleta estudiante eafit eafitutores sereseafit oeeafi; j : 199. Sim : 0.4734108; No similar. 
 vanessa colmenares beneficiaria beca gabriel vega lara ejemplo trabajo perseverancia labelurl  ; j : 200. Sim : 0.24156706; No similar. 
 base populismo radica existencia enemigos problema miedo desconocido daniel pe labelurl  ; j : 201. Sim : 0.15076852; No similar. 
 orgullorosarista yuli guevara gana medalla plata campeonato centroamericano caribe karate  ; j : 202. Sim : 0.17478566; No similar. 
 rt obsdemocracia 2014 cuales paises america manifestado mas apoyo protestas sociales labelurl label; j : 203. Sim : 0.2694971; No similar. 
 rt obsdemocracia migarcias codirector obsdemocracia presenta resultados barometroamericas2016 comun; j : 204. Sim : 0.14721759; No similar. 
 forma parte encuentro internacional quinto nacional investigaciones asuntos mujer genero labelurl  ; j : 205. Sim : 0.18564534; No similar. 
 gabriel corredor gano premio excelencia college photographer of the year labelurl labelurl  ; j : 206. Sim : 0.051580317; No similar. 
 programateun partir hoy seminario arte duelo reconciliacion conoce programacion aqui labelurl  ; j : 207. Sim : 0.48887953; No similar. 
 buenos dias comunidadun manana invitamos conocer students house unmanizales labelurl unparatodos  ; j : 208. Sim : 0.55623; Baja. 
 corrupcion mal insufrible conozca analisis alberto simpser experto temas corrupcion labelurl  ; j : 209. Sim : 0.29849967; No similar. 
 rt craiur semana plan consejoech consejocpgdu semana literatura urosarioradio notelopierdas literat; j : 210. Sim : 0.44144064; No similar. 
 codigo mas disciplinario debio tener tambien cuenta voz ciudadanos malbarracin labelurl  ; j : 211. Sim : 0.3931129; No similar. 
