Modulo nnlm-es-dim128-with-normalization-2
Topicos : pm hoy eafit hoyeneafit auditorio colombia lapazenfoco calidad paz unisabana manana 
 grupos copa epiandes apoyan proyecto recreovias inteligencia analitica toma decisiones idr labelurl; j : 160. Sim : 0.20966293; No similar. 
 rt fismed tercer dia fismed eafit 2016 continua lapatasola carloscuentero caracolnext miraenserie l; j : 161. Sim : 0.33206663; No similar. 
 descriminalizacion sancion penal frente consumo drogas legalizacion cadena franciscocumsi1 cicadoea; j : 162. Sim : 0.27105308; No similar. 
 grupos copa epiandes apoyan proyecto recreovias inteligencia analitica toma decisiones idrd labelur; j : 163. Sim : 0.19903432; No similar. 
 buen viaje corounisabana va rumbo peru participara festival internacional coros udep labelurl  ; j : 164. Sim : 0.32846498; No similar. 
 eafit invita padres familia encuentro realizara 9 agosto auditorio fundadores 600 pm labelurl  ; j : 165. Sim : 0.4436022; No similar. 
 reconciliacion significa podamos hacer compromiso dirimir diferencias manera constructiva frankpear; j : 166. Sim : 0.28748313; No similar. 
 hoy ultimo dia actualizar datos egresadoun hazlo podras ganar premios tiendaun labelurl  ; j : 167. Sim : 0.3515516; No similar. 
 rt mediuniandes dr londono entrevista cmilanoticia calidad aire impacto buena salud fsfbsalud label; j : 168. Sim : 0.29574028; No similar. 
 segundo riesgo acuerdo solo farc acuerdo incompleto hernando zuleta director cesed  ; j : 169. Sim : 0.25375095; No similar. 
 vidalabreo presentacion noticiero cientifico cultural iberoamericano iniciativa ateiberoamerica res; j : 170. Sim : 0.47756925; No similar. 
 hoy 1200 m apertura 7 festival teatro cuerpo agua ritmo mestizaje caravana hielo p labelurl  ; j : 171. Sim : 0.30422318; No similar. 
 colegas creen hago salir hacer lobby perdiendo posicion critica academica tpaffenholz  ; j : 172. Sim : 0.29494688; No similar. 
 expertos hablaron uso bicicleta ley pro bici impacto salud publica video labelurl  ; j : 173. Sim : 0.032552216; No similar. 
 rt inguniandes 13 marzo analyticsforum enterese ultimos avances experiencias expertos inscripciones; j : 174. Sim : 0.2927541; No similar. 
 expertos hablaron uso bicicleta ley pro bici impacto salud publica video labelurl  ; j : 175. Sim : 0.032552216; No similar. 
 london school of economics andes trabajan crear observatorio internacional proceso paz labelurl  ; j : 176. Sim : 0.33886358; No similar. 
 conocimiento conductas terceros civiles jep rafael nieto loaiza ex vicemin justicia labelurl  ; j : 177. Sim : 0.21708117; No similar. 
 pot 20162019 pusimos meta movilidad sostenible basada retos programas proyectos marta  ; j : 178. Sim : 0.18141608; No similar. 
 hoyeneafit sera presentada reedicion cuatro obras autor antioqueno mario escobar velasquez labelurl; j : 179. Sim : 0.3987393; No similar. 
 lonuevo forum elearning diplomados 100 virtuales tutor expertos sector real conocelos labelurl  ; j : 180. Sim : 0.1651258; No similar. 
 manana auditorio 38103 500 pm ciudadania puede aportar actualizacion politica publ labelurl  ; j : 181. Sim : 0.5404054; Baja. 
 serna01 ecofineafit colombiacompite saludos motivos fuerza mayor evento realizara dia hoy labelurl ; j : 182. Sim : 0.39495903; No similar. 
 alain calvo canto rodado reflejo vivencias mario jairo morales henao editorialeafit labelurl  ; j : 183. Sim : 0.27607214; No similar. 
 trueque literario premia lectores eafitenses conozcan condiciones juego participen ver mas labelurl; j : 184. Sim : 0.14760676; No similar. 
 rt culturaunaula cambiar calle ampliar andenes promover sistemas movilidad claves mejorar calidad  ; j : 185. Sim : 0.09960781; No similar. 
