Modulo nnlm-es-dim128-with-normalization-2
Topicos : unisabana comsabana hoy uniandes colombia via pm estudiantes mas 2016 noticiaun anos 
 lider bogota pueda decir dado cien mil pesos comprar gaseosa reunion enrique penalosa  ; j : 89. Sim : 0.24024518; No similar. 
 momento politico confusion crisis podamos superarlo mejor manera posible traves palabra concertacio; j : 90. Sim : 0.36830598; No similar. 
 rt oaduniandes ayeryhoy entrada bloque g edificio roberto franco actualmente facultad ciencias soci; j : 91. Sim : 0.33562642; No similar. 
 cobrar mas viven mas lejos castigar mas pobres acabo cobro adicional transbordo enriquepenalosa  ; j : 92. Sim : 0.3307105; No similar. 
 erradicacion resistencia social mas dificil manejar armada vice mindefensa anibal fernandez soto fo; j : 93. Sim : 0.36034888; No similar. 
 suba va quedar interconectada transmilenio alo avenida ciudad cali mas eficiente complementar metro; j : 94. Sim : 0.26582786; No similar. 
 rt jrestrp segun confirmacion autoridades expresada medios agradecemos ayuda permitio encontrar est; j : 95. Sim : 0.3593896; No similar. 
 rt comsabana ahora periodistas colombia visitan unisabana tomar curso manejo espanol raeinforma fun; j : 96. Sim : 0.54243344; Baja. 
 rt unisabanaradio empieza cuenta regresiva 4 dias cumplir ano mas emisora universitaria van ser 8 a; j : 97. Sim : 0.5338186; Baja. 
 rt oaduniandes ayeryhoy bloque t parte campito uniandes antiguo asilo enfermos psiquiatricos throwb; j : 98. Sim : 0.2976537; No similar. 
 hoyeneafit rocca marko 93 concierto auditorio fundadores 730 pm falten entrada libre labelurl  ; j : 99. Sim : 0.3402909; No similar. 
 rocca marko 93 concierto esperamos manana auditorio fundadores 730 pm entrada libre labelurl  ; j : 100. Sim : 0.4039839; No similar. 
 rumbo detroit hoy acompananos desearle buen viaje integrantes equipo shell eco marathon labelurl  ; j : 101. Sim : 0.19735245; No similar. 
 rt deportessabana seleccion rugby clasifica finales grupo universitario cerros girardot unisabana c; j : 102. Sim : 0.39969066; No similar. 
 rt bienestarsabana hoy equipo rugby partio pereira representar unisabana juegos universitarios naci; j : 103. Sim : 0.48975003; No similar. 
 sundaymorning happy we be ready go colombia vamos usingenieria unisabana shellecomarathon shellecom; j : 104. Sim : 0.4065909; No similar. 
 rt urosarioradio 39 mil millones pesos dpto cordoba sabe estan cgrcolombia edgardo maya labelurl  ; j : 105. Sim : 0.23136751; No similar. 
 rt serpilopaga hoy encontramos unisabana dandole bienvenida potenciales pilos haran parte comunidad; j : 106. Sim : 0.4804038; No similar. 
 rt urosarioradio opinionespoderosasur inicia 2da temporada invitado lujo cgrcolombia sr contralor e; j : 107. Sim : 0.20480627; No similar. 
 rt coninsaramonh alturas finales puente vez construido estaran 532m 604m cumpliendo norma estableci; j : 108. Sim : 0.13451394; No similar. 
 recuerden manana recital piano cuatro manos teresita gomez andres gomez bravo falten labelurl  ; j : 109. Sim : 0.32079804; No similar. 
 viernes concierto gratuito eva zollner auditorio fundadores 730 pm entrada libre boleta labelurl  ; j : 110. Sim : 0.26408926; No similar. 
 rt lasabanaabroad conoce becas recursos movilidad unisabana ofrece esperamos manana 1200 be salon l; j : 111. Sim : 0.48779026; No similar. 
 revista baile danza heroes bail 1 noviembre 700 pm auditorio fundadores entrada libre labelurl  ; j : 112. Sim : 0.28101367; No similar. 
 rt usembassybogota mision promesacontinua2017 realizara trabajo humanitario proveera cuidado medico; j : 113. Sim : 0.1915621; No similar. 
 rt usembassybogota mision promesacontinua2017 realizara trabajo humanitario proveera cuidado medico; j : 114. Sim : 0.20997281; No similar. 
 rt ccykcolombia lasabanaabroad unisabana present the opportunities for collaboration with northern ; j : 115. Sim : 0.292356; No similar. 
 hoyeneafit revista baile danza heroes bail 700 pm auditorio fundadores entrada libre labelurl  ; j : 116. Sim : 0.29536587; No similar. 
 hoyeneafit recital piano andres gomez bravo obras compositores eafitenses entrada libre esperam lab; j : 117. Sim : 0.24300815; No similar. 
 rt oaduniandes ayeryhoy restaurante villa paulina quinta perteneciente antigua fabrica tejidos thro; j : 118. Sim : 0.1262968; No similar. 
 gastronomia chef carlos gaviria profesor eicea presenta obra tecnicas profesionales cocina colombia; j : 119. Sim : 0.24279353; No similar. 
 rt danielpa partimos mocoa compromiso uniandes colombia uniandesicya inguniandes behrentz uniandino; j : 120. Sim : 0.42867333; No similar. 
 chef carlos gaviria profesor gastronomia eicea presenta hoy libro comida colombiana filbo2017 label; j : 121. Sim : 0.28993687; No similar. 
 hoy teleantioquia tanoticias idea negocio nacida eafit heladeria bolton 700 pm emprendiendohve labe; j : 122. Sim : 0.27413017; No similar. 
 rt hernanolano primer nivel foro precedente icesi unisabana derechousabana sofaunisabana trenusaban; j : 123. Sim : 0.19943377; No similar. 
 rt behrentz duda pendiente transmilenio carreraseptima manejo estaciones 200 metros ojo impacto urb; j : 124. Sim : 0.06668974; No similar. 
 rt behrentz manana uniandes foro conductas estudiantes rede sociales digitales auditorio ml 730 be ; j : 125. Sim : 0.42120078; No similar. 
 rt uniandesderecho invitacion seminario proximo 11 agosto 730 1230 m uniandes entradalibre cupo lim; j : 126. Sim : 0.44153145; No similar. 
 rt discuniandes invitamos 3er foro ingenieria software proximo 16 agosto forosisis uniandes ingunia; j : 127. Sim : 0.43894142; No similar. 
 foro contrabandodecigarrillo colombia presenta precios mas bajos paquete latinoamerica nigar nargis; j : 128. Sim : 0.43553716; No similar. 
 hoyeneafit sera homenaje vida musical leon cardona 700 pm auditorio fundadores esperamos labelurl  ; j : 129. Sim : 0.35767308; No similar. 
 rt oaduniandes ayeryhoy antiguo bloque l lugar alguna vez ubicada rectoria uniandes throwbackthursd; j : 130. Sim : 0.33249003; No similar. 
 noticiaun edificio matematicas recibe nombre yu takecuhi homenaje maestro fisico labelurl via unime; j : 131. Sim : 0.38111103; No similar. 
 proximo 13 marzo invitamos recital piano andres gomez bravo esperamos entrada libre labelurl  ; j : 132. Sim : 0.32735246; No similar. 
 andes subio 16 puestos escalafon global qs hace parte 1 superior universidades mundo labelurl  ; j : 133. Sim : 0.32101384; No similar. 
 rt eicea felices paris aprendiendo ieseg school of management cursodeverano international fashion b; j : 134. Sim : 0.20071338; No similar. 
 medio crisis esperanza queda luz sale gente joven doctor benjamin rodriguez iturbe labelurl  ; j : 135. Sim : 0.13755079; No similar. 
 rt comsabana asi culmino primer dia convicomsabana alumnas unisabana bosquemacadamia deport alto im; j : 136. Sim : 0.5203376; Baja. 
 rt apgguzman lucia fraca barrera universidad pedagogica experimental libertador ahora seminario per; j : 137. Sim : 0.3301057; No similar. 
 hoyeneafit concierto ensamble periscopio musica nueva 800 pm auditorio fundadores entrada libre  ; j : 138. Sim : 0.27947545; No similar. 
 jaime jaramillo poemas rio cauca amanecer espanol eafit poesia lector culto tambie labelurl  ; j : 139. Sim : 0.384211; No similar. 
 rt endirectosabana endirecto96 llego edicion 96 directo entramos circulacion cargados buenas histor; j : 140. Sim : 0.31287485; No similar. 
 mas 11 billones pesos obras ejecutadas recursos garantizados departamento antioquia andrade anicolo; j : 141. Sim : 0.2540622; No similar. 
 rt memoriauniandes ayeryhoy estudiantes profesores convirtieron estatua san alberto magno elementos; j : 142. Sim : 0.2895925; No similar. 
 aun saben estudiar estudiantes 10 11 12 26 27 abril invitamos experienciaeafit labelurl  ; j : 143. Sim : 0.3883545; No similar. 
 libro chef gaviria acaba ser galardonado mejor mundo gourmand world cookbook award labelurl  ; j : 144. Sim : 0.065125644; No similar. 
 rt upbcolombia decalogo sosporelaire distancias medianas deben recorrerse vehiculos motorizados pue; j : 145. Sim : 0.28824362; No similar. 
 hoyeneafit plazoleta estudiante viste luces esperamos exhibicion the light be on entrada labelurl  ; j : 146. Sim : 0.30891088; No similar. 
 charla icea estrategias market millennials marzo 28 200 pm 400 pm auditorio k 1 labelurl  ; j : 147. Sim : 0.41762188; No similar. 
 despues 10 anos marisa martins regresa cautivar publico lirica voz junto sinfonicaeafit labelurl  ; j : 148. Sim : 0.37121478; No similar. 
 rt oaduniandes san alberto magno elementos mas representativos uniandes celebra hoy fiesta anual la; j : 149. Sim : 0.38124332; No similar. 
 rt oaduniandes enlamemoria bertha eugenia laserna brando secretaria general facultad ingenieria ing; j : 150. Sim : 0.26138464; No similar. 
 rt oaduniandes enlamemoria hernan echavarria olozoga 19112006 entrega doctorado honoris causa nelso; j : 151. Sim : 0.19715908; No similar. 
 tan facil va ser resocializacion menores farc analisis neila diaz via eltiempo labelurl  ; j : 152. Sim : 0.37918055; No similar. 
 rt jeronimorivera manana tendre invitada lujo direcciondeactores unisabana buena amiga gran actriz ; j : 153. Sim : 0.33217934; No similar. 
 descriminalizacion reserva medida paises niveles consumo elevados general r jose leonardo gallego f; j : 154. Sim : 0.11176169; No similar. 
 hoy celebramos dia bacteriologo conmemoracion natalicio doctor federico lleras acosta gracias to la; j : 155. Sim : 0.4424964; No similar. 
 rt derechousabana decano cordobamarentes presenta ponencia congreso mundial derecho autor alai roma; j : 156. Sim : 0.2190632; No similar. 
 tan facil va ser resocializacion menores farc neila diaz psicosabana1 via eltiempo labelurl  ; j : 157. Sim : 0.3601274; No similar. 
 rt hernanolano uchile vi congreso latinoamericano historia derecho derechousabana unisabana obdulio; j : 158. Sim : 0.20876127; No similar. 
 hablamos mitos leyendas agueros hacen parte folclor estan asociados medio ambiente vallenato  ; j : 159. Sim : 0.16629046; No similar. 
 profesor john mario gonzalez nuevo miembro academia colombiana ciencias exactas fisicas naturales l; j : 160. Sim : 0.30156335; No similar. 
 rt editorialur consulta previa consentimiento libre previo informado pueblos indigenas colombia 2a ; j : 161. Sim : 0.36973202; No similar. 
 kathryn clifton recomienda usar google adwords identificar palabras clave hagan atractivos titulos ; j : 162. Sim : 0.11141871; No similar. 
 si partir fracturar volver rearmarnos mejor momento ma paulina baena pulla elespectador  ; j : 163. Sim : 0.16156814; No similar. 
 escritora poeta performer arubena rosabelle illes dejo nuevo mensaje buzon 070 filbo2016 labelurl  ; j : 164. Sim : 0.11544315; No similar. 
 unisabana universidad privada mejor reputacion pais segun rank merco 2016 via canalcapital labelurl; j : 165. Sim : 0.6077545; Baja. 
 rt memoriauniandes ayeryhoy nuevo bloque c edificio facultad arquituniandes throwbackthursday logro; j : 166. Sim : 0.3535794; No similar. 
 rt fisicauniandes estan cordialmente invitados tercer journal club optica cuantica periodo intersem; j : 167. Sim : 0.3218103; No similar. 
 lenguas indigenas oficiales segun constitucion territorio decir estan cerradas resto selnich vivas ; j : 168. Sim : 0.31605405; No similar. 
 ser adulto mayor colombia karma pobreza abandono exclusion informe posmedunisabana via revistaseman; j : 169. Sim : 0.33027285; No similar. 
 escucha donkristobal the warriors concierto ser pilo paga universidad ces 6 octubre 100 p labelurl ; j : 170. Sim : 0.28209364; No similar. 
 rt facisouniandes comienza diapaiz desafios eticos politicos metodologicos trabajo psicosocial acom; j : 171. Sim : 0.47778395; No similar. 
 constitucion 91 incluyo contexto declara pertenece mundo cabemos habla conflicto clara atehortua  ; j : 172. Sim : 0.03350396; No similar. 
 rt maesaludydiscap viernes plazo hacer parte programa unisabana si aun dudas escribenos ht  ; j : 173. Sim : 0.37066162; No similar. 
 rt inguniandes conoce ingeniero industrial detras multinacional 3m enrique turk egresado destacado ; j : 174. Sim : 0.08319849; No similar. 
 hoy segundo dia cibecom fpradori presenta momento informe country rep track reputacion labelurl  ; j : 175. Sim : 0.32537743; No similar. 
 rt comsabana quieres formar parte univ2017 roma invitamos obtener mas informacion univcongress unis; j : 176. Sim : 0.4083537; No similar. 
 rt bibliotecaur despierta creatividad expoinvisble conoce diccionario dudas ilustrado sala general ; j : 177. Sim : 0.04687686; No similar. 
 sebastiandiazlo si desea puede enviarnos consulta correo mgomezr2eafiteduco enviarla directamente a; j : 178. Sim : 0.24962775; No similar. 
