Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun uncolombia dia conoce unparatodos semana mas feliz video unimedios orgulloun hoy 
 hoy filbogota presentacion libros cabos sueltos lectura pecado capital pasos escorpion  ; j : 167. Sim : 0.395118; No similar. 
 marshalcobos buenas tardes queremos conocer mas inconvenientes presentados favor envianos dato labe; j : 168. Sim : 0.32542744; No similar. 
 stefaherrera saludos gustaria conocer profundidad inquietud puede describirnos caso correo mgomezr2; j : 169. Sim : 0.26632297; No similar. 
 rt obsdemocracia apoyo procesodepaz depende tan buena aprobacion presidencial segun barometroameric; j : 170. Sim : 0.18677004; No similar. 
 queremos saber afectan resultados plebiscito negociaciones paz eln horizonte temporal renegociacion; j : 171. Sim : 0.24556963; No similar. 
 alejoa017 buenas tardes actividades academicas administrativas estan funcionando normalidad gracias; j : 172. Sim : 0.3449739; No similar. 
 rt craiur viniste semana literatura crai salas podras leer apasionarte literatura esper  ; j : 173. Sim : 0.24675372; No similar. 
 900000 millones pesos ano primera infancia adultos mayores habitantes calle duplicado recursos  ; j : 174. Sim : 0.17708361; No similar. 
 rectores g8 solidarizan udea rechazan uso indebido espacios academicos ver mas labelurl  ; j : 175. Sim : 0.18737061; No similar. 
 finalizo entrega iii premio biblioteca narrativa colombiana pbnc manana continuara haymedellin17 la; j : 176. Sim : 0.25502455; No similar. 
 queremos contarte vamos receso semanasanta volveremos ver 17 abril feliz semana labelurl  ; j : 177. Sim : 0.42693835; No similar. 
 comunidadun comencemos dia conociendo cuales mejores ies pais investigacion labelurl via revistasem; j : 178. Sim : 0.4248139; No similar. 
 gestion marca contexto digital articulo convenio pbsedueafit publicado palermo business revie  ; j : 179. Sim : 0.23505326; No similar. 
 rt facisouniandes capacidad cambiar piel capacidad pasar mundo carlo ginzburg hombreslobo so  ; j : 180. Sim : 0.16507094; No similar. 
 mito pueda seguir creciendo agricultura sino proceso adecuacion tierras guillermobotero fenalconaci; j : 181. Sim : 0.17005199; No similar. 
 acuerdo mantillaignacio tiempo implementar grado 12 opinion elespectador juanmansantos infopresiden; j : 182. Sim : 0.2327168; No similar. 
 pronto iniciamos nuevo semestre academico cambios cursos ingles universidad debe conocer labelurl  ; j : 183. Sim : 0.3083206; No similar. 
 comunidadun hoy 300 pm festival musica latinoamericana siglo xx info labelurl entr labelurl  ; j : 184. Sim : 0.3733111; No similar. 
 lecuyeryoann buenos dias usted podria favor indicarnos medio puso queja fecha labelurl  ; j : 185. Sim : 0.5168722; Baja. 
 noticiaun centro pensamiento paz lista mundial think tank orgulloun piensapazunal labelurl unimedio; j : 186. Sim : 0.20899567; No similar. 
 domingo mayo saludo mamas unisabana amor ejemplo acompana cada dia felizdiadelamadre labelurl  ; j : 187. Sim : 0.47761866; No similar. 
 conferencia pasados ontologias alternativas estudio pasado 23 24 marzo mas informacion labelurl  ; j : 188. Sim : 0.4136734; No similar. 
 buenos dias miercoles apoyar corounisabana hoy audicion final concurso cantale papa labelurl  ; j : 189. Sim : 0.5557665; Baja. 
 noticiaun universidad nacional pide ser sede firma paz farc labelurl via noticiascaracol  ; j : 190. Sim : 0.30571657; No similar. 
 nunca recibido solo centavo hecho vendido bus volvo mentira grotesca enriquepenalosa  ; j : 191. Sim : 0.2755098; No similar. 
 1era vez sede orinoquia presentan 1998 aspirantes peama launcuenta mantillaignacio admisionesun lab; j : 192. Sim : 0.23974328; No similar. 
 descarga aplicacion circularun enterate actividades eventos unparatodos disponible ios android  ; j : 193. Sim : 0.33347034; No similar. 
 consejos expresatebien comunicate mejor aplicarlos diariamente campanaun labelurl feliz fin semana ; j : 194. Sim : 0.44775134; No similar. 
 rt obsdemocracia obsdemocracia noticia latinoamerica portal infolatam anticipa resultados historico; j : 195. Sim : 0.33736372; No similar. 
 terminar gran dia sintoniza programacion unradio labelurl 985unradio unradioweb feliz noche  ; j : 196. Sim : 0.5002885; Baja. 
 terminemos dia interesantes charlas ver metacampusun video labelurl feliz noche unparatodos  ; j : 197. Sim : 0.5956688; Baja. 
 hoy gran dia hacer deporte amigos sentirte bien dirbienestarun bienestarbogota foto labelurl  ; j : 198. Sim : 0.44640785; No similar. 
 terminemos dia interesantes charlas ver metacampusun video labelurl feliz noche unparatodos  ; j : 199. Sim : 0.5956688; Baja. 
 comunidadun perdiste rendicion cuentas 2015 uncolombia encuentra video aqui labelurl launcuenta  ; j : 200. Sim : 0.5586132; Baja. 
 comunidadun fin semana encuentra documentales aqui video labelurl feliz viernes untelevision  ; j : 201. Sim : 0.6894385; Media. 
 comunidadun consejos expresatebien comunicate mejor aplicar dias labelurl feliz noche campanaun  ; j : 202. Sim : 0.57239; Baja. 
 rt hernanolano falsas frases bulos atribuidas pontifexes espere elnuevosiglo articulo verdaderos be; j : 203. Sim : 0.19520038; No similar. 
 boletinun ver leer escuchar encuentras aqui labelurl untelevision unimedios 985unradio unparatodos ; j : 204. Sim : 0.38428724; No similar. 
 buenos dias feliz comienzo semana felizlunes toda comunidadun acompana diariamente labelurl  ; j : 205. Sim : 0.648655; Baja. 
 comunidadun consejos expresatebien comunicate mejor puedes encontrarlos aqui labelurl aplicalos cam; j : 206. Sim : 0.34775224; No similar. 
