Modulo nnlm-es-dim128-with-normalization-2
Topicos : pm hoy eafit hoyeneafit auditorio colombia lapazenfoco calidad paz unisabana manana partir entrada 
 medida ayudaria evitar 700 muertes ano diabetes enfermedades cardiovasculares cancer agaviriau mins; j : 106. Sim : 0.17519295; No similar. 
 rol juntas accion comunalen colombia hoy lapazenfoco 300 pm institucionaltv piensapazunal uncolombi; j : 107. Sim : 0.54712653; Baja. 
 rt biblioeafit hoy pierdan club lectores comic eafit entrada libre previa inscripcion labelurl ht  ; j : 108. Sim : 0.4438273; No similar. 
 hoy 730 pm primer encuentro interuniversitario coros orquestas auditorioleondegreiff entrada libre ; j : 109. Sim : 0.4357956; No similar. 
 hoyeneafit pierdan aula fabricato partir 1200 pm catedra asia peninsula coreana  ; j : 110. Sim : 0.5780958; Baja. 
 rt camaraoriente eventoscamara instituciones territorio apoyar proyectos aporten dllo sostenible dr; j : 111. Sim : 0.35801217; No similar. 
 hoyeneafit esperamos tercer conversatorio mesita noche partir 630 pm sala audicion labelurl  ; j : 112. Sim : 0.5570523; Baja. 
 hoyeneafit esperamos conversatorio mesita noche partir 630 pm sala audicion musical labelurl  ; j : 113. Sim : 0.5466783; Baja. 
 alturas finales puente vez construido estaran 532m 604 m cumpliendo norma establecida 4  ; j : 114. Sim : 0.2709145; No similar. 
 rt profebarreto wilmergober dptolaguajira laguajirahoy laguajiragob culturadir mineducacion yanethg; j : 115. Sim : 0.2688703; No similar. 
 rt filbogota iniciamos seminario internacional derechos autor marco filbo2017 derechodeautor camlib; j : 116. Sim : 0.24843505; No similar. 
 hora almuerzo visite fopre cafe disfrute variedad platos apoye talento yoapoyoalfopre labelurl  ; j : 117. Sim : 0.34042585; No similar. 
 rt filbogota iniciamos seminario internacional derechos autor marco filbo2017 derechodeautor camlib; j : 118. Sim : 0.24843505; No similar. 
 hoy 300 pm auditorioleondegreiff musica colombiana director leonardo marulanda entrada libre labelu; j : 119. Sim : 0.54333717; Baja. 
 hora almorzar visite fopre cafe disfrute variedad platos apoye talento yoapoyoalfopre labelurl  ; j : 120. Sim : 0.33348724; No similar. 
 hernando barragan decano arquitectura diseno nuevo arquitecto diseno jefe arduino orgullouniandes l; j : 121. Sim : 0.30020282; No similar. 
 cantos boga sera eafit 4 agosto auditorio fundadores 730 pm vidacultural cultura labelurl  ; j : 122. Sim : 0.5577271; Baja. 
 areametropol siatamedellin seguira consolidandose instrumento tecnico investigacion gracias contrat; j : 123. Sim : 0.324307; No similar. 
 hoyeneafit esperamos primer conversatorio mesita noche partir 630 pm sala audicion labelurl  ; j : 124. Sim : 0.55871695; Baja. 
 acerca hora almuerzo ganas variar vea menu mapa restaurantes participan fopr labelurl  ; j : 125. Sim : 0.2711319; No similar. 
 hoyeneafit esperamos segundo conversatorio mesita noche partir 630 pm sala audicion labelurl  ; j : 126. Sim : 0.55528015; Baja. 
 15 junio esperamos partir 500 pm encuentro ciudadano seguridad convivencia ciudada labelurl  ; j : 127. Sim : 0.47592968; No similar. 
 breve lapazenfoco henrymedinau beatrizquinlop laurapachecosil dario fajardo paz querida institucion; j : 128. Sim : 0.36897945; No similar. 
 seminario investigacion fcnm molecular basis of adaptive phenotypes in tropical butterfly labelurl ; j : 129. Sim : 0.17270154; No similar. 
 molecular basis of adaptive phenotypes in tropical butterfly seminario investigacion fcnm labelurl ; j : 130. Sim : 0.17270154; No similar. 
 ciudades educadas pais parece votaron miedo prejuicio contrainformacion diego cancino pnud  ; j : 131. Sim : 0.20210372; No similar. 
 hoyeneafit realizara conversatorio movilidad peatonal 500 pm bloque 19501 entrada libre labelurl  ; j : 132. Sim : 0.4137964; No similar. 
 importancia rol iglesia proceso paz manana lapazenfoco institucionaltv 300 pm piensapazunal  ; j : 133. Sim : 0.54530233; Baja. 
 alimentos sirven especulacion financiera aumento precio alimentos basicos condeno millones hambre  ; j : 134. Sim : 0.32265615; No similar. 
 tres expertos tema ambiental hablan posacuerdo hoy 300 pm lapazenfoco institucionaltv labelurl  ; j : 135. Sim : 0.24282163; No similar. 
 kilele saludos podemos ayudarle si desea puede escribirnos traves mensajes directos  ; j : 136. Sim : 0.19681707; No similar. 
 rt ceasiapacifico primer concurso coreano universidad eafit acompananos tarde kpop officialkoica ce; j : 137. Sim : 0.37069756; No similar. 
 hoy filbo2017 presentacion libro idealista pragmatico jeremy adelman 300 pm estand labelurl  ; j : 138. Sim : 0.536534; Baja. 
 conoces acuerdos habana manana 300 pm pierdas nuevo capitulo lapazenfoco institucionaltv  ; j : 139. Sim : 0.49569538; No similar. 
 colombiano sabes significa proceso paz pierdas lapazenfoco hoy 300 pm institucionaltv  ; j : 140. Sim : 0.41743404; No similar. 
 rt colciencias nuevo modelo publindex promovemos impacto visibilidad publicaciones ctei estandares ; j : 141. Sim : 0.08772197; No similar. 
 jody williams nobel paz hablara hoy 330 pm lucha minas nobeldepazenlosandes labelurl  ; j : 142. Sim : 0.34091327; No similar. 
 martinezvox santiagocancion leeranaldo saludos duratne dia hoy publicaremos acceso obtener boletas ; j : 143. Sim : 0.40127635; No similar. 
 espera minutos preguntas trivia transformandovidas podras ganar postre myriam camhi participa label; j : 144. Sim : 0.31262425; No similar. 
 rt areametropol firmamos convenio eafit disenar plan seguridad convivencia paz alcance supramunicip; j : 145. Sim : 0.36557025; No similar. 
 espera minutos preguntas trivia transformandovidas podras ganar postre myriam camhi participa label; j : 146. Sim : 0.31262425; No similar. 
 rt laagendadelmar esperamos hoy casa musica parque deseos 500 pm entrada libre labelurl  ; j : 147. Sim : 0.5498838; Baja. 
 rt colciencias seguimos trabajando manera articulada mejorar impacto visibilidad produccion cientif; j : 148. Sim : 0.24975735; No similar. 
 rt ausechea gloria alvarez dividir sociedad odio primer paso manual populista admonurosario labelur; j : 149. Sim : 0.27599365; No similar. 
 tarde musica letras filbo2017 ricardo visbal profesor facultad filosofia ciencias humana labelurl  ; j : 150. Sim : 0.37446904; No similar. 
 excelenciauniandes ser 5ta universidad america latina segun time higher education latamrankings lab; j : 151. Sim : 0.3331222; No similar. 
 ricardojllo puede contactar repres telefono 2619500 ext 9020 correo representanteseafiteduco 22  ; j : 152. Sim : 0.19294323; No similar. 
 reto preparacion pais frente amenazas sismicas debemos generar conocimiento procedimientos ge label; j : 153. Sim : 0.28445494; No similar. 
 inicia lapazenfoco programa pedagogico plural apuesta construccion paz piensapazunal institucionalt; j : 154. Sim : 0.386361; No similar. 
 eafit invita manana partir 530 pm entrega reconocimiento egresados inspiran esper labelurl  ; j : 155. Sim : 0.52796006; Baja. 
 rt telemedellin viernes llega primer encuentrostelemedellin20anos universidad eafit entrada libre g; j : 156. Sim : 0.4962178; No similar. 
 rt educaunisabana finalizamos conferencia profesor john elliott firmando libro visitantes ilustres ; j : 157. Sim : 0.32221845; No similar. 
 hoyeneafit olviden encuentro cafe ciudad sos aire amenaza continua 400 pm labelurl  ; j : 158. Sim : 0.49200863; No similar. 
 hoyeneafit mahmoud mohieldin estara dialogo juventud bloque 38 101 500 pm labelurl  ; j : 159. Sim : 0.46053675; No similar. 
 grupos copa epiandes apoyan proyecto recreovias inteligencia analitica toma decisiones idr labelurl; j : 160. Sim : 0.2060028; No similar. 
 rt fismed tercer dia fismed eafit 2016 continua lapatasola carloscuentero caracolnext miraenserie l; j : 161. Sim : 0.30294666; No similar. 
 descriminalizacion sancion penal frente consumo drogas legalizacion cadena franciscocumsi1 cicadoea; j : 162. Sim : 0.3094042; No similar. 
 grupos copa epiandes apoyan proyecto recreovias inteligencia analitica toma decisiones idrd labelur; j : 163. Sim : 0.2209777; No similar. 
 buen viaje corounisabana va rumbo peru participara festival internacional coros udep labelurl  ; j : 164. Sim : 0.35410574; No similar. 
 eafit invita padres familia encuentro realizara 9 agosto auditorio fundadores 600 pm labelurl  ; j : 165. Sim : 0.47217327; No similar. 
 reconciliacion significa podamos hacer compromiso dirimir diferencias manera constructiva frankpear; j : 166. Sim : 0.28823066; No similar. 
 hoy ultimo dia actualizar datos egresadoun hazlo podras ganar premios tiendaun labelurl  ; j : 167. Sim : 0.32754743; No similar. 
 rt mediuniandes dr londono entrevista cmilanoticia calidad aire impacto buena salud fsfbsalud label; j : 168. Sim : 0.26236066; No similar. 
 segundo riesgo acuerdo solo farc acuerdo incompleto hernando zuleta director cesed  ; j : 169. Sim : 0.21000957; No similar. 
 vidalabreo presentacion noticiero cientifico cultural iberoamericano iniciativa ateiberoamerica res; j : 170. Sim : 0.45734304; No similar. 
 hoy 1200 m apertura 7 festival teatro cuerpo agua ritmo mestizaje caravana hielo p labelurl  ; j : 171. Sim : 0.3722476; No similar. 
 colegas creen hago salir hacer lobby perdiendo posicion critica academica tpaffenholz  ; j : 172. Sim : 0.27928555; No similar. 
 expertos hablaron uso bicicleta ley pro bici impacto salud publica video labelurl  ; j : 173. Sim : 0.04448417; No similar. 
 rt inguniandes 13 marzo analyticsforum enterese ultimos avances experiencias expertos inscripciones; j : 174. Sim : 0.3085904; No similar. 
 expertos hablaron uso bicicleta ley pro bici impacto salud publica video labelurl  ; j : 175. Sim : 0.04448417; No similar. 
 london school of economics andes trabajan crear observatorio internacional proceso paz labelurl  ; j : 176. Sim : 0.30141938; No similar. 
 conocimiento conductas terceros civiles jep rafael nieto loaiza ex vicemin justicia labelurl  ; j : 177. Sim : 0.18688454; No similar. 
 pot 20162019 pusimos meta movilidad sostenible basada retos programas proyectos marta  ; j : 178. Sim : 0.19869865; No similar. 
 hoyeneafit sera presentada reedicion cuatro obras autor antioqueno mario escobar velasquez labelurl; j : 179. Sim : 0.3638502; No similar. 
 lonuevo forum elearning diplomados 100 virtuales tutor expertos sector real conocelos labelurl  ; j : 180. Sim : 0.15013197; No similar. 
 manana auditorio 38103 500 pm ciudadania puede aportar actualizacion politica publ labelurl  ; j : 181. Sim : 0.52649164; Baja. 
 serna01 ecofineafit colombiacompite saludos motivos fuerza mayor evento realizara dia hoy labelurl ; j : 182. Sim : 0.38375193; No similar. 
 alain calvo canto rodado reflejo vivencias mario jairo morales henao editorialeafit labelurl  ; j : 183. Sim : 0.271985; No similar. 
 trueque literario premia lectores eafitenses conozcan condiciones juego participen ver mas labelurl; j : 184. Sim : 0.18106362; No similar. 
 rt culturaunaula cambiar calle ampliar andenes promover sistemas movilidad claves mejorar calidad  ; j : 185. Sim : 0.14315647; No similar. 
 rt admonuniandes diapaiz taller creacion tejedoras mampujan superar traumas guerra representando vi; j : 186. Sim : 0.22900757; No similar. 
 rt bienestarsabana hoy iniciamos vacaciones solidarias haciendo mural obras misericordia solidarida; j : 187. Sim : 0.386613; No similar. 
 lapazenfoco apuesta construccion paz hoy invitamos jovenes pensar importante tarea institucionaltv ; j : 188. Sim : 0.46506962; No similar. 
 hoy ultimo plazo reclamar kit senekuniandes manana carrera habra entrega kit labelurl  ; j : 189. Sim : 0.4151967; No similar. 
 rt repositoriour ciencia abierta concepto trascendental hablar cultura cientifica guardaronoscar co; j : 190. Sim : 0.21284743; No similar. 
 rt jrestrp ceremonia becas entregando cientos estudiantes urosarionews apoyo formarse calidad compr; j : 191. Sim : 0.30792838; No similar. 
 16 noviembre invitamos disfrutar familia obra teatro ventana cielo entrada libre labelurl  ; j : 192. Sim : 0.34968802; No similar. 
 temas calidad vida mas importantes educacion salud empleo seguridad piedad retrepo labelurl  ; j : 193. Sim : 0.3963732; No similar. 
 conoci mario traves libros di cuenta hombre tenia deseo escribir publicar labelurl  ; j : 194. Sim : 0.20814002; No similar. 
 maria alejandra olarte rosarista bmw group munchen munich alemania conoce historia labelurl  ; j : 195. Sim : 0.27873236; No similar. 
 ofrecemos 22 moocs educacion finanzas mercadeo fisica literatura emprendimiento desarrollo videojue; j : 196. Sim : 0.25721616; No similar. 
 hoy inicia filbo2017 urosarionews estara presente editorialur urosarioradio muchas novedades conoce; j : 197. Sim : 0.25278524; No similar. 
 tecnologia factor importante avance ayuda ahorrar recursos aunque reduce mano obra labelurl  ; j : 198. Sim : 0.09892822; No similar. 
 impuesto bolsas plasticas reducido 27 uso dimitri zaninovich viceministro infraestructura crecimien; j : 199. Sim : 0.15022536; No similar. 
 hoyeneafit primer dia fiesta primavera conferencia eeuu china administracion trump ver labelurl  ; j : 200. Sim : 0.53291184; Baja. 
 rt ctaco hoy 2pm conectate charla julian zubiria 8 encuentro investigacion escolar riemedellin labe; j : 201. Sim : 0.41712487; No similar. 
 viernes cine salida cultural bienestarsabana hora 100 pm inscribete bienestar universitario labelur; j : 202. Sim : 0.4419114; No similar. 
 conoce mundo eafit hoy auditorio fundadores vive noche internacional 500 pm labelurl  ; j : 203. Sim : 0.4453492; No similar. 
 rt medcomovamos seria futuro laboral colombianos hugo lopez investigador eafit presenta panorama la; j : 204. Sim : 0.33956945; No similar. 
 ninguno profesores conozco anticipo resultado elecciones cambia totalmente panorama hernando zuleta; j : 205. Sim : 0.15571572; No similar. 
 hoy presenta programa atenea iniciativa renovara suite academica procesos manejo infor labelurl  ; j : 206. Sim : 0.2698959; No similar. 
 rt elmundomedellin mas pequenos tambien montan bicicletas desfile bicicletas clasicas feriadelasflo; j : 207. Sim : 0.30998096; No similar. 
 escribir economia solo plasmar datos trata mostrarlos vida personas apgguzman losperiodistasenunisa; j : 208. Sim : 0.2502084; No similar. 
 rt fuerzasmilcol fuerzasmilitares participan foro justicia especial paz realizado urosarionews jep ; j : 209. Sim : 0.28209847; No similar. 
 rt colciencias reconocemos importancia trabajar manera conjunta senacomunica uniandes uncolombia ac; j : 210. Sim : 0.1409416; No similar. 
 hoyenelrosario academic event gerontechnology an interdisciplinary program that showcases rehabilit; j : 211. Sim : 0.26984525; No similar. 
 urosario academic event gerontechnology an interdisciplinary program that showcases rehabilitation ; j : 212. Sim : 0.24613167; No similar. 
