Modulo nnlm-es-dim128-with-normalization-2
Topicos : via noticiaun unisabana unimedios comsabana colombia uniandes mas orgulloun estudiantes 2016 hoy anos 
 rt uniandinosiempr colombia necesitamos liderazgo servicio oportunidad contribuir hoy frank pearl i; j : 121. Sim : 0.29383215; No similar. 
 rt economiauandes fotos hackathon desarrollo soluciones cognitivas datos abiertos gobierno dnpcolom; j : 122. Sim : 0.23989505; No similar. 
 aun saben estudiar estudiantes 10 11 12 26 27 abril invitamos experienciaeafit labelurl  ; j : 123. Sim : 0.33018732; No similar. 
 obdulio habla revistasemana serpilopaga mas palo programa ser pilo paga labelurl educacion colombia; j : 124. Sim : 0.35653055; No similar. 
 interesante articulo rector uncolombia mantillaignacio tiempo implementar grado 12 unimedios via el; j : 125. Sim : 0.5321707; Baja. 
 hace imperativo consumo droga aborde perspectiva salud publica bo mathiasen unodc foroungasscol  ; j : 126. Sim : 0.1201584; No similar. 
 rt clinunisabana participa zona libre trombosis 28 noviembre 10 manana esperamos salud prevencion  ; j : 127. Sim : 0.3777526; No similar. 
 rt serpilopaga potencial pilo recuerda si credito condonable preseleccionado debes seguir pasos ser; j : 128. Sim : 0.13769062; No similar. 
 rt labatyfilms seleccion oficial fiafest videoclip tiempo extra alla vamos bogota comsabana unisaba; j : 129. Sim : 0.45579144; No similar. 
 jaime jaramillo poemas rio cauca amanecer espanol eafit poesia lector culto tambie labelurl  ; j : 130. Sim : 0.41004702; No similar. 
 rt comsabana sigabienpueda recuerden antiguo semaforo ahora nombre distinto nuevo sistema siga unis; j : 131. Sim : 0.29297003; No similar. 
 rt editorialur hoy termina filbo2017 libros destacados debes ir buscar descuentos especiales lee  ; j : 132. Sim : 0.19998647; No similar. 
 rt maesaludydiscap viernes plazo hacer parte programa unisabana si aun dudas escribenos ht  ; j : 133. Sim : 0.35665601; No similar. 
 rt editorialur libros 10 mejores libros academicos 2016 elespectador conozca top 10 aqui labelurl  ; j : 134. Sim : 0.41347796; No similar. 
 salud cundinamarca observatorio sabana centro vamos preocupan casos embarazo adolescente labelurl v; j : 135. Sim : 0.21086705; No similar. 
 rt comsabana acaba arrancar trenusabana rumbo unisabana tiempo estimado recorrido unisabana 59 minu; j : 136. Sim : 0.37015885; No similar. 
 solo 19 10 millones estudiantes colombia cursan programas alta calidad daniel payares labelurl  ; j : 137. Sim : 0.42171374; No similar. 
 rt agenciatierras manana eafit continuamos socializacion proyecto ley tierras recuerda inscripcion ; j : 138. Sim : 0.3847225; No similar. 
 articulo eric quintane seleccionado best paper proceed academy of management unidos labelurl  ; j : 139. Sim : 0.1162879; No similar. 
