Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa trabajadores uso hoy colombia pais anos presidente economicos ecopetrol indicadores palmaedwin 
 ctcolombia crudoopina negociaciones usofrenteobrero ecopetrolsa solo deja garantias laborales sindi; j : 149. Sim : 0.56254214; Baja. 
 usometa logramos nueva convencion colectiva trabajo multinacional servicios petroleros halliburton ; j : 150. Sim : 0.28970116; No similar. 
 organizacion sindical uso denuncia nefasta politica administrativa viene desarrollando gerencia gen; j : 151. Sim : 0.38669717; No similar. 
 dr jorge ivan palacio expone huelga sector petrolero posible somosuso vivalauso labelurl  ; j : 152. Sim : 0.44442222; No similar. 
 dr jorge ivan palacio opina forma usofrenteobrero hace pedagogia derecho huelga labelurl  ; j : 153. Sim : 0.39060852; No similar. 
 alexwarff decision quitarle tres ceros peso colombiano recae exclusivamente congreso repu labelurl ; j : 154. Sim : 0.25737023; No similar. 
 guidotoro decision quitarle tres ceros peso colombiano recae exclusivamente congreso republi labelu; j : 155. Sim : 0.21114522; No similar. 
 hoy organizacion sindical cumple 96 anos existencia defendiendo patrimonio publico unidad c labelur; j : 156. Sim : 0.49697658; No similar. 
 mafsul buena noticia colombia ecopetrolsa usofrenteobrero cerraron acuerdo negociacion convencion c; j : 157. Sim : 0.5705657; Baja. 
 dr jorge ivan palacio expone huelga sector petrolero posible somosuso vivalauso labelurl  ; j : 158. Sim : 0.44442222; No similar. 
 jagove2788 decision quitarle tres ceros peso colombiano recae exclusivamente congreso rep labelurl ; j : 159. Sim : 0.2420515; No similar. 
 maurisano decision quitarle tres ceros peso colombiano recae exclusivamente congreso repu labelurl ; j : 160. Sim : 0.22214839; No similar. 
 blubucaramanga hoy inicia negociacion pliego laboral sindicato usofrenteobrero ecopetrol trabajador; j : 161. Sim : 0.4898981; No similar. 
 usofrenteobrero decimos trabajadores vit unica forma defender empresa puestos trabajo huel  ; j : 162. Sim : 0.45753857; No similar. 
 hoy organizacion sindical cumple 96 anos existencia defendiendo patrimonio publico unidad c labelur; j : 163. Sim : 0.49697658; No similar. 
 solidaridad pueblo palestino ayer masacrados 56 ninos mujeres hombres manos israelnour labelurl  ; j : 164. Sim : 0.38317686; No similar. 
 jesusapecas dcoronell ecopetrolsa diria humoristas programa tv mas antiguo colombia uuuyyy echeverr; j : 165. Sim : 0.48203477; No similar. 
 randresalvarez aidaavellae senadora adelante vamos defender soberania energetica patrimonio publico; j : 166. Sim : 0.4646096; No similar. 
 elimprudenteco decision quitarle tres ceros peso colombiano recae exclusivamente congreso republ la; j : 167. Sim : 0.24574952; No similar. 
 usofrenteobrero pesar acciones disposicion uso mesa negociaciones ecopetrolsa mantiene posicion int; j : 168. Sim : 0.48189977; No similar. 
 fabioariascut retweeted edwin palma egea palmaedwinnnya leyeron ataques medios pliego peticiones  ; j : 169. Sim : 0.18919729; No similar. 
 hoy sostuvimos reunion ecopetrolsa cenit abordar temas laborales trabajadores directos terceriza la; j : 170. Sim : 0.44904995; No similar. 
 palmaedwin hoy cumplen 100 anos explotacion petrolera paisnnsino huelga hizo usofrenteobrero l  ; j : 171. Sim : 0.52689433; Baja. 
 usocasabe usocasabe seguimiento cumplimiento actas extra convencionales trabajadors empresa seima s; j : 172. Sim : 0.09890786; No similar. 
 sinolvido aury presidente usofrenteobrero desaparecido tres dias posteriormente encontrado junto es; j : 173. Sim : 0.23447104; No similar. 
 dacamiloro nueva familia billet da continuidad concepto biodiversidad familia monedas come labelurl; j : 174. Sim : 0.09414183; No similar. 
 jerobledo buena noticia trabajadores petroleo pais firma convencion colectiva uso ecopetrol  ; j : 175. Sim : 0.6655365; Baja. 
 union sindical obrera industria petroleo uso vincula conmemoracion 70 anos decla labelurl  ; j : 176. Sim : 0.57892317; Baja. 
 hoy sostuvimos reunion ecopetrolsa cenit abordar temas laborales trabajadores directos terceriza la; j : 177. Sim : 0.44904995; No similar. 
 bcavirtual bcavirtual comision fiscales avanza investigacion afloramientos pozo 158 palmaedwin usof; j : 178. Sim : 0.31707364; No similar. 
 cesarloza01 usofrenteobrero minminas mafsul ecopetrolsa sindicato hablando temas q superan laboral ; j : 179. Sim : 0.45262012; No similar. 
 javierarc35 decision quitarle tres ceros peso colombiano recae exclusivamente congreso re labelurl ; j : 180. Sim : 0.20407517; No similar. 
 jkvasquez01 usofrenteobrero ecopetrolsa obtiene excelentes dividendos clase obrera realidad hace ge; j : 181. Sim : 0.29738665; No similar. 
 omunoz79 decision quitarle tres ceros peso colombiano recae exclusivamente congreso republica q lab; j : 182. Sim : 0.4039095; No similar. 
 blubucaramanga usofrenteobrero confirma llego acuerdo levantar protesta laboral proyecto cira infan; j : 183. Sim : 0.18337892; No similar. 
 nikoa01 usofrenteobrero consejogremial ivanduque ecopetrolsa total apoyo ecopetrol empresa importan; j : 184. Sim : 0.53462905; Baja. 
 blubucaramanga usofrenteobrero confirma llego acuerdo levantar protesta laboral proyecto cira infan; j : 185. Sim : 0.18337892; No similar. 
 alunavil billet anterior familia saldran paulatinamente circulacion vez cumplan vida util labelurl ; j : 186. Sim : 0.44157082; No similar. 
 aorgulloso uso usofrenteobrero insiste dialogo lograr acuerdo ecopetrolsa busca eficacia dialogo  ; j : 187. Sim : 0.20495787; No similar. 
