Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa pais trabajadores hoy colombia economicos indicadores uso bancorepublica datos presidente tarde 
 publication read the second edition of the governorsreport new quarterly publication by jjechavarri; j : 79. Sim : 0.084206976; No similar. 
 sinprosegroky doctor fernan ignacio bejarano arias vicepresidente juridico ecopetrolsa enviado corr; j : 80. Sim : 0.40971842; No similar. 
 basta leer sentencia c796 14 concluir si bien cierto servicio publico importante esen labelurl  ; j : 81. Sim : 0.34822106; No similar. 
 banrepcultural teatro quiminza sera sede banrepcultural tunja mientras realicen restauracion claust; j : 82. Sim : 0.2660375; No similar. 
 usometa usofrenteobrero sigue cumpliendo clase obrera conseguir acuerdos luego jornadas intensas pr; j : 83. Sim : 0.27308276; No similar. 
 andrespardoa colombia gobierno realiza operacion manejo deuda tesoro nacional 134 billones via minh; j : 84. Sim : 0.47174847; No similar. 
 fondosdepension juan david correa presidente consejo directivo asofondos santiago montenegro presid; j : 85. Sim : 0.37547198; No similar. 
 andrespardoa colombia encuesta ipsos napoleon franco rcn radio television revistasemanannzuluaga 49; j : 86. Sim : 0.42603576; No similar. 
 fondosdepension solo tercio trabajadores colombianos cotizan salud pension andres felipe uribe vice; j : 87. Sim : 0.51878446; Baja. 
 fondosdepension inversion extranjera directa ied creciendo tasas altas forma importante juan jose e; j : 88. Sim : 0.35840568; No similar. 
 juan pablo uribe director fundacion santa fe bogota presenta libro salud colombia perspec labelurl ; j : 89. Sim : 0.41003028; No similar. 
 kikem63 usofrenteobrero paso atras companeros arriba gloriosa combativa union sindical obrera uso  ; j : 90. Sim : 0.41901958; No similar. 
 bcavirtual bcavirtual ecopetrol instituto von humboldt unen restaurar danos fortuna palmaedwin usof; j : 91. Sim : 0.1892656; No similar. 
 bcavirtual bcavirtual uso rechaza propuesta gremios vender ecopetrol palmaedwin usofrenteobrero uso; j : 92. Sim : 0.2161324; No similar. 
 uso condena denuncia brutal agresion objeto companera dibeth quintana lider sindical nu labelurl  ; j : 93. Sim : 0.2982475; No similar. 
 bcavirtual bcavirtual ecopetrol logro acuerdo laboral uso palmaedwin usofrenteobrero usoedwin ecope; j : 94. Sim : 0.3445044; No similar. 
 cuervoji entonces avianca ordenaba interceptaciones ilegales sindicato pilotos acdac1 plenas negoci; j : 95. Sim : 0.325198; No similar. 
 usofrenteobrero hace 67 anos nacio ecopetrolsa patrimonio colombianos usofrenteobrero hizo huelga e; j : 96. Sim : 0.40995806; No similar. 
 usocasabe labor mahecha dio dignidad autoestima obrero colombiano creador riqueza accion conjugaba ; j : 97. Sim : 0.22470032; No similar. 
 ayer suscribimos acta garantias massy energy iniciar negociacion colectiva miras regular cond label; j : 98. Sim : 0.29699206; No similar. 
 bcavirtual bcavirtual vender ecopetrol acabar patrimonio publico palmaedwin usofrenteobrero usoedwi; j : 99. Sim : 0.26414838; No similar. 
 jkvasquez01 mafsul campetrol ivanduque minminas sra ministra ve entusiasta cuento convencion ecopet; j : 100. Sim : 0.3851775; No similar. 
 fernandezmjp hoy cumple 95 anos usofrenteobrero felicitacionesnsin organizacion existiria ecopetrol; j : 101. Sim : 0.55271477; Baja. 
 uocartagena no12horas junto afiliados vamos dar pelea vamos quedar cruzados brazos mientras  ; j : 102. Sim : 0.18552427; No similar. 
 usofrenteobrero vamos defender ecopetrolsa vamos defender patrimonio publico vamos defender pliego ; j : 103. Sim : 0.28075537; No similar. 
 jerobledo gran saludo usofrenteobrero celebrar 95 anos defendiendo recursos derechos trabajadores p; j : 104. Sim : 0.41117013; No similar. 
 yariguies1027 loultimo usofrenteobrero anuncia levanta cese actividades protesta temas laborales tr; j : 105. Sim : 0.3050204; No similar. 
 sindicato tenaris tubocaribe reclaman garantias ejercer libertad sindical llevan do dias huelga d l; j : 106. Sim : 0.39467126; No similar. 
 bcavirtual bcavirtual presidente duque aseguro vendera ecopetrol palmaedwin usofrenteobrero usoedwi; j : 107. Sim : 0.2491414; No similar. 
 usofrenteobrero empresa miente deslegitimar derecho huelga pone jefes coordinadores ingenieros repe; j : 108. Sim : 0.26899177; No similar. 
 mientras hoy actos solemnes uso ecopetrolsa instalamos mesa negociacion lado nivel pais labelurl  ; j : 109. Sim : 0.55032206; Baja. 
 union sindical obrera uso lleva varios anos exigiendo ecopetrol planta tratamiento cartagena labelu; j : 110. Sim : 0.48419964; No similar. 
 usometa usofrenteobrero logra reintegro trabajadora respeto igualdad genero ecopetrol luego volvier; j : 111. Sim : 0.31155124; No similar. 
 uocartagena no12horas vamos luchar defender turno 8 horas 1985 generado riqueza ecopetrolsa bien  ; j : 112. Sim : 0.3288691; No similar. 
 lasillavacia reunidos mesa hace casi mes ecopetrolsany sindicatos usofrenteobrero sindispetrol adec; j : 113. Sim : 0.30947256; No similar. 
 enscolombia noticiasnen dias recientes consejo gremial propuso presidente entrante vender participa; j : 114. Sim : 0.4207497; No similar. 
 usofrenteobrero rechaza firmeza atentado acepto haber perpetrado eln exige actos unilaterales qu la; j : 115. Sim : 0.17287578; No similar. 
 aorgulloso enscolombia felicita usofrenteobrero 96 anos existencia luchas laslos trabajadores neces; j : 116. Sim : 0.37560946; No similar. 
 bcavirtual bcavirtual procuraduria cito ecopetrol tras emergencia ambiental lizama palmaedwin usofr; j : 117. Sim : 0.241399; No similar. 
 bcavirtual bcavirtual video explican tragedia ingeniero campillo palmaedwin usofrenteobrero usoedwi; j : 118. Sim : 0.041063793; No similar. 
 usometa ex presidente corte constitucional explica valido socialozar derecho huelga sector petroler; j : 119. Sim : 0.10756038; No similar. 
 spituto seminario ideologico politico usofrenteobrero servicio ecopetrolsa intervencion dr jorge iv; j : 120. Sim : 0.5230281; Baja. 
 usometa trabajadores petroleros colombia usofrenteobrero uso oponemos venta acciones ecopetrol dich; j : 121. Sim : 0.5266899; Baja. 
 asefincob felicitaciones union sindical obrera industria petroleo uso usofrenteobrero firma nueva c; j : 122. Sim : 0.47349223; No similar. 
 alejandropg81 fuerzas establecimiento colombiano estan campana abierta destruir sindicalismo autono; j : 123. Sim : 0.4388978; No similar. 
 dcoronell emboscar personas calle insultarlas grabarlas nueva forma heroismo politico pataneria uri; j : 124. Sim : 0.27165237; No similar. 
 alejandropg81 fuerzas establecimiento colombiano estan campana abierta destruir sindicalismo autono; j : 125. Sim : 0.4388978; No similar. 
 usocasabe hoy hacemos homenaje fuerza amor ternura templanza todas mujeres trabajadoras empeno  ; j : 126. Sim : 0.22731765; No similar. 
 sophyeo19 unebpliegos2017 uneb presenta hoy pliego peticiones citibankvamos mejores condiciones lab; j : 127. Sim : 0.23903488; No similar. 
 mintrabajocol ministra trabajo aliciaarango lidera reunion presidente ecopetrol felipe bayon presid; j : 128. Sim : 0.4380495; No similar. 
 juancar45074794 ivanduque consejogremial camino fructifero espera pais perderia mejor empresa pais ; j : 129. Sim : 0.49579173; No similar. 
 restitucionc rt aorgulloso enscolombia felicita laslos trabajadores uso persistente lucha sindical ; j : 130. Sim : 0.18548845; No similar. 
 bavvillas bancosaval dilaciones artimanas viola flagrantemente derecho negociacion colectiva radico; j : 131. Sim : 0.26721832; No similar. 
 empresas filiales subsidiarias ecopetrolsa q estan pais perdieron 57billones segun financieros hoy ; j : 132. Sim : 0.56304216; Baja. 
 palmaedwin producimos petroleo producir equidad reducir pobreza eduardo uribe vicepresidente entorn; j : 133. Sim : 0.4231766; No similar. 
 usofrenteobrero uso pliego solo pidiendo mejores derechos empleados sino tambien planteando nece  ; j : 134. Sim : 0.32985786; No similar. 
 seminario 95 anos misionkemmerer colombia empieza mesa redonda retos sector financiero fis labelurl; j : 135. Sim : 0.5169217; Baja. 
 cesar loza presidente nacional uso hablo lafm posible venta ecopetrol sa propuesta f labelurl  ; j : 136. Sim : 0.3381105; No similar. 
 lideres union europea concedieron primera ministra britanica theresa may extension do sema labelurl; j : 137. Sim : 0.38641688; No similar. 
 lavicedetrabajo importante dialogo formalizacion laboral tercerizacion representates uso cut global; j : 138. Sim : 0.38013884; No similar. 
 jorgeajurado ecopetrolsa despidio dirigente sindical usofrenteobrero joaquin padilla tener facultad; j : 139. Sim : 0.46867105; No similar. 
