Modulo nnlm-es-dim128-with-normalization-2
Topicos : unisabana comsabana hoy uniandes colombia via pm estudiantes mas 2016 noticiaun anos concierto 
 acerca dia internacional danza eafit celebracion sera 28 abril partir 300 pm labelurl  ; j : 192. Sim : 0.47413656; No similar. 
 comsabana cada monitor vemos posible futuro profesor apgguzman ahora ceremonia monitor unisabana  ; j : 193. Sim : 0.29087105; No similar. 
 orgulloun do paisas primeras colombianas nado sincronizado rio2016 labelurl unmedellin udea via elt; j : 194. Sim : 0.39485157; No similar. 
 estudiantes 10 11 12 pierdan manana oportunidad vivir experiencia eafit mas informacion labelurl  ; j : 195. Sim : 0.5621792; Baja. 
 estan invitados 10 12 octubre foro ciudades bajas carbono mas informacion programa labelurl  ; j : 196. Sim : 0.4735662; No similar. 
 rt vocesrcn va haber ligero deterioro materia empleo 2017 incremento tasa desempleo viend  ; j : 197. Sim : -0.0668107; No similar. 
 rt teleantioquia noche tanoticias konico restaurante experiencias gastronomicas provenza laureles e; j : 198. Sim : 0.43283173; No similar. 
 rt katarod campesinos sumapaz contando dia dia retos dialogando construyendo pais diapaiz unia  ; j : 199. Sim : 0.4914817; No similar. 
 manana foro ciudades bajas carbono creando soluciones colectivas estan invitados mas informacion la; j : 200. Sim : 0.45992383; No similar. 
 rt inguniandes casos exitosos implant corazon artificial viii sem ingenieria biomedica bio uniandes; j : 201. Sim : 0.3192082; No similar. 
 departamento lenguas culturas extranjeras gana segunda vez premio mejor proyecto uso tecnologia lab; j : 202. Sim : 0.21747002; No similar. 
 manana voyentren nueva parada novena calle 147 607 be movilidad bogota trenusabana labelurl  ; j : 203. Sim : 0.3365349; No similar. 
 comsabana atentos recibimos inquietudes dudas elaboracion horarios traves dm mayor informacion unis; j : 204. Sim : 0.45500034; No similar. 
 trabaje gratis vender bus siento orgulloso haber sido presidente junta itdp enriquepenalosa  ; j : 205. Sim : 0.063176565; No similar. 
 rt jrestrp extraordinario nuevo consejero hernando sanchez sanchez abogado urosarionews destacado j; j : 206. Sim : 0.02652169; No similar. 
