Modulo nnlm-es-dim128-with-normalization-2
Topicos : pm hoy eafit hoyeneafit auditorio colombia lapazenfoco calidad paz 
 grupos copa epiandes apoyan proyecto recreovias inteligencia analitica toma decisiones idr labelurl; j : 160. Sim : 0.2340484; No similar. 
 rt fismed tercer dia fismed eafit 2016 continua lapatasola carloscuentero caracolnext miraenserie l; j : 161. Sim : 0.28594786; No similar. 
 descriminalizacion sancion penal frente consumo drogas legalizacion cadena franciscocumsi1 cicadoea; j : 162. Sim : 0.24125248; No similar. 
 grupos copa epiandes apoyan proyecto recreovias inteligencia analitica toma decisiones idrd labelur; j : 163. Sim : 0.21566498; No similar. 
 buen viaje corounisabana va rumbo peru participara festival internacional coros udep labelurl  ; j : 164. Sim : 0.36270627; No similar. 
 eafit invita padres familia encuentro realizara 9 agosto auditorio fundadores 600 pm labelurl  ; j : 165. Sim : 0.45512652; No similar. 
 reconciliacion significa podamos hacer compromiso dirimir diferencias manera constructiva frankpear; j : 166. Sim : 0.3472904; No similar. 
 hoy ultimo dia actualizar datos egresadoun hazlo podras ganar premios tiendaun labelurl  ; j : 167. Sim : 0.27315757; No similar. 
 rt mediuniandes dr londono entrevista cmilanoticia calidad aire impacto buena salud fsfbsalud label; j : 168. Sim : 0.2506578; No similar. 
 segundo riesgo acuerdo solo farc acuerdo incompleto hernando zuleta director cesed  ; j : 169. Sim : 0.22267386; No similar. 
 vidalabreo presentacion noticiero cientifico cultural iberoamericano iniciativa ateiberoamerica res; j : 170. Sim : 0.49276596; No similar. 
 hoy 1200 m apertura 7 festival teatro cuerpo agua ritmo mestizaje caravana hielo p labelurl  ; j : 171. Sim : 0.3854383; No similar. 
 colegas creen hago salir hacer lobby perdiendo posicion critica academica tpaffenholz  ; j : 172. Sim : 0.27239907; No similar. 
 expertos hablaron uso bicicleta ley pro bici impacto salud publica video labelurl  ; j : 173. Sim : 0.0528457; No similar. 
 rt inguniandes 13 marzo analyticsforum enterese ultimos avances experiencias expertos inscripciones; j : 174. Sim : 0.22929955; No similar. 
 expertos hablaron uso bicicleta ley pro bici impacto salud publica video labelurl  ; j : 175. Sim : 0.0528457; No similar. 
 london school of economics andes trabajan crear observatorio internacional proceso paz labelurl  ; j : 176. Sim : 0.36534473; No similar. 
 conocimiento conductas terceros civiles jep rafael nieto loaiza ex vicemin justicia labelurl  ; j : 177. Sim : 0.1842271; No similar. 
 pot 20162019 pusimos meta movilidad sostenible basada retos programas proyectos marta  ; j : 178. Sim : 0.21673018; No similar. 
 hoyeneafit sera presentada reedicion cuatro obras autor antioqueno mario escobar velasquez labelurl; j : 179. Sim : 0.31563342; No similar. 
 lonuevo forum elearning diplomados 100 virtuales tutor expertos sector real conocelos labelurl  ; j : 180. Sim : 0.19351098; No similar. 
 manana auditorio 38103 500 pm ciudadania puede aportar actualizacion politica publ labelurl  ; j : 181. Sim : 0.47577304; No similar. 
 serna01 ecofineafit colombiacompite saludos motivos fuerza mayor evento realizara dia hoy labelurl ; j : 182. Sim : 0.37054288; No similar. 
 alain calvo canto rodado reflejo vivencias mario jairo morales henao editorialeafit labelurl  ; j : 183. Sim : 0.19269215; No similar. 
 trueque literario premia lectores eafitenses conozcan condiciones juego participen ver mas labelurl; j : 184. Sim : 0.12966216; No similar. 
 rt culturaunaula cambiar calle ampliar andenes promover sistemas movilidad claves mejorar calidad  ; j : 185. Sim : 0.14322032; No similar. 
 rt admonuniandes diapaiz taller creacion tejedoras mampujan superar traumas guerra representando vi; j : 186. Sim : 0.22011487; No similar. 
 rt bienestarsabana hoy iniciamos vacaciones solidarias haciendo mural obras misericordia solidarida; j : 187. Sim : 0.34916028; No similar. 
 lapazenfoco apuesta construccion paz hoy invitamos jovenes pensar importante tarea institucionaltv ; j : 188. Sim : 0.49009562; No similar. 
 hoy ultimo plazo reclamar kit senekuniandes manana carrera habra entrega kit labelurl  ; j : 189. Sim : 0.33547145; No similar. 
 rt repositoriour ciencia abierta concepto trascendental hablar cultura cientifica guardaronoscar co; j : 190. Sim : 0.22825529; No similar. 
 rt jrestrp ceremonia becas entregando cientos estudiantes urosarionews apoyo formarse calidad compr; j : 191. Sim : 0.33470616; No similar. 
 16 noviembre invitamos disfrutar familia obra teatro ventana cielo entrada libre labelurl  ; j : 192. Sim : 0.28149766; No similar. 
 temas calidad vida mas importantes educacion salud empleo seguridad piedad retrepo labelurl  ; j : 193. Sim : 0.46462682; No similar. 
 conoci mario traves libros di cuenta hombre tenia deseo escribir publicar labelurl  ; j : 194. Sim : 0.12629431; No similar. 
 maria alejandra olarte rosarista bmw group munchen munich alemania conoce historia labelurl  ; j : 195. Sim : 0.20817427; No similar. 
 ofrecemos 22 moocs educacion finanzas mercadeo fisica literatura emprendimiento desarrollo videojue; j : 196. Sim : 0.31259683; No similar. 
 hoy inicia filbo2017 urosarionews estara presente editorialur urosarioradio muchas novedades conoce; j : 197. Sim : 0.23136708; No similar. 
 tecnologia factor importante avance ayuda ahorrar recursos aunque reduce mano obra labelurl  ; j : 198. Sim : 0.122482866; No similar. 
 impuesto bolsas plasticas reducido 27 uso dimitri zaninovich viceministro infraestructura crecimien; j : 199. Sim : 0.17125486; No similar. 
 hoyeneafit primer dia fiesta primavera conferencia eeuu china administracion trump ver labelurl  ; j : 200. Sim : 0.46781683; No similar. 
 rt ctaco hoy 2pm conectate charla julian zubiria 8 encuentro investigacion escolar riemedellin labe; j : 201. Sim : 0.3669309; No similar. 
 viernes cine salida cultural bienestarsabana hora 100 pm inscribete bienestar universitario labelur; j : 202. Sim : 0.38650098; No similar. 
 conoce mundo eafit hoy auditorio fundadores vive noche internacional 500 pm labelurl  ; j : 203. Sim : 0.43945274; No similar. 
 rt medcomovamos seria futuro laboral colombianos hugo lopez investigador eafit presenta panorama la; j : 204. Sim : 0.34892866; No similar. 
 ninguno profesores conozco anticipo resultado elecciones cambia totalmente panorama hernando zuleta; j : 205. Sim : 0.15560244; No similar. 
 hoy presenta programa atenea iniciativa renovara suite academica procesos manejo infor labelurl  ; j : 206. Sim : 0.26079985; No similar. 
 rt elmundomedellin mas pequenos tambien montan bicicletas desfile bicicletas clasicas feriadelasflo; j : 207. Sim : 0.24163304; No similar. 
 escribir economia solo plasmar datos trata mostrarlos vida personas apgguzman losperiodistasenunisa; j : 208. Sim : 0.25711173; No similar. 
 rt fuerzasmilcol fuerzasmilitares participan foro justicia especial paz realizado urosarionews jep ; j : 209. Sim : 0.36006215; No similar. 
 rt colciencias reconocemos importancia trabajar manera conjunta senacomunica uniandes uncolombia ac; j : 210. Sim : 0.137421; No similar. 
 hoyenelrosario academic event gerontechnology an interdisciplinary program that showcases rehabilit; j : 211. Sim : 0.22526273; No similar. 
 urosario academic event gerontechnology an interdisciplinary program that showcases rehabilitation ; j : 212. Sim : 0.20909743; No similar. 
 hoy pierdan eafitpereira partir 200 pm conversatorio indice departamental competiti labelurl  ; j : 213. Sim : 0.44593138; No similar. 
