;Topico1
"rt inalde impacto apuesta unisabana debe generar sostenibilidad regional obduliovp universidadyempresa larepublicaco
";0.93013
"rt marianabeur amo iniciativas mibicipostobon unomastodosco 90 becarios nueva forma llegar unisabana labelurl
";0.93012
"uniandes nueva pagina web mas agil navegacion basada experiencia movil conozcala labelurl
";0.93012
"rt areametropol construccion plan integral seguridad convivencia metropolitano acompanan uncolombia eafit terr
";0.93012
"uniandes nueva pagina web mas agil navegacion basada experiencia movil conozcala labelurl
";0.93012
"derecho psicologia musica capital comunicacion transmedia tambien integran paginas presentan hoy labelurl
";0.93012
"eafit expone historia medellin antioquiaa traves obra jorge cardenas estan invitados labelurl
";0.93011
"empresa debe ser innovadora tambien cambiante asi convierte empresa sostenible gruposura labelurl
";0.9301
"invitamos 200 pm conferencia situacion actual palestina cargo raouf almalki embajador d labelurl
";0.93009
"hoyeneafit esperamos 1000 be 700 pm trueque literario libro abierto falte labelurl
";0.93009
"continuan conferencias ciclosiete eafit esperamos manana partir 900 be ver mas labelurl
";0.93009
"rt inguniandes gruposur uniandes cargo capitulo movilidad informecalidadvida bogotacomovamos hoy 8am camaracomer
";0.93009
"hoy eafit rindio homenaje siembra guayacan honor memoria fernando maiz amigos
";0.93009
"rt economiauandes entrevista decano economia universidad andes juan camilo cardenas via larepublicaco labelurl
";0.93008
"elca conto etapa 2017 12 grupos operativos 51 encuestadores 15 evaluadoras labelurl
";0.93008
"rt inalde todas universidades impacto regional obduliovp rector unisabana foro universidadyempresa larepublicaco
";0.93008
"hoy partir 830 be pierdas transmision vi foro alianza universitaria paz labelurl
";0.93007
"todavia tiempo proximo lunes pueden inscribirse festival musica camara arcos eafit labelurl
";0.93007
"rt educaunisabana gusto compartir primer encuentro graduados maestria direccion instituciones educativas uni
";0.93007
"viernes estan invitados leccion inaugural escuela derecho partir 1000 be audit labelurl
";0.93007
"rt uvonhumboldt pasara turismo proximos 10 anos conferencia eafit armenia apoya uvonhumboldt labelurl
";0.93006
"cuatro cada 10 litros agua potable producen colombia pierdeneducaunisabana via larepublicape labelurl
";0.93006
"etica fuerza crear empresas sostenibles almorsal director profesor direccion personas inalde labelurl
";0.93006
"rt vocesrcn realidad indica vamos mas cerca 2 crecimiento economico 3 porcentaje alto regio
";0.93006
