Modulo nnlm-es-dim128-with-normalization-2
Topicos : noticiaun via colombia uniandes unisabana unimedios mas comsabana hoy 2016 
 libro tecnicas cocina colombiana galardonado mejor libro cocina mundial labelurl via eltiempo  ; j : 196. Sim : 0.1768191; No similar. 
 medida disminuido intensidad lucha incrementado cultivos general r jose leonardo gallego foroungass; j : 197. Sim : 0.08360995; No similar. 
 migremos sistema medicion permita tener menos subjetividad natalia ruiz rodgers vicemineducacion la; j : 198. Sim : 0.2616875; No similar. 
 comsabana sigabienpueda recuerden hoy empezamos elaboracion horarios comsabana siguiendo turnos asi; j : 199. Sim : 0.3732955; No similar. 
 rt monsieurjournal sabana universidad privada mejor reputacion colombia segun rank merco 2016 label; j : 200. Sim : 0.54653865; Baja. 
 torre seneca 628 cupos 243 apartamentos inicio funcionamiento cuenta primeros habitante labelurl  ; j : 201. Sim : 0.07276932; No similar. 
 rt behrentz raza grandes niveles resiliencia adaptabilidad enormes deseos superacion mas pesimismo ; j : 202. Sim : 0.18057384; No similar. 
 accion vehiculo carga derribo parte estructura provisional puente registraran lesiones personales 4; j : 203. Sim : 0.19569705; No similar. 
 noticiaun viviendas espacio publico activan entorno estacion metro labelurl via unimedios territori; j : 204. Sim : 0.35902384; No similar. 
 dia mundial tabaco 2017 cada ano cigarrillo deja siete millones muertes labelurl labelurl  ; j : 205. Sim : 0.18628271; No similar. 
 rt comsabana felicidades alumnos comsocial comaudiovisual hoy graduan unisabana inician vida alumn ; j : 206. Sim : 0.3870395; No similar. 
 dia mundial tabaco 2017 cada ano cigarrillo deja siete millones muertes labelurl labelurl  ; j : 207. Sim : 0.18628271; No similar. 
 rt comsabana tercerfiafest gracias hicieron posible fiafest ultimo reto encuentre logos fiafest  ; j : 208. Sim : 0.25254172; No similar. 
 analistas representantes gobierno eeuu hablaron uniandes enfoque trump hacia medio oriente labelurl; j : 209. Sim : 0.16845265; No similar. 
 2015 2016 disminucion inversion vivienda pasando 24 16 2016 piedad retrepo labelurl  ; j : 210. Sim : 0.4983581; No similar. 
 rt uocpsicoedu revista ethe editada uoc uniandes referente mundial educacion labelurl cc uocunivers; j : 211. Sim : 0.23265773; No similar. 
 rumbo espana karen campos enfermeria zeury gelves fisioterapia ganaron beca santander labelurl  ; j : 212. Sim : 0.3194649; No similar. 
 rt fasecoldaoficia unisabana hace lanzamiento cuarta edicion libro seguros temas esenciales labelur; j : 213. Sim : 0.28754172; No similar. 
 rt usembassybogota equipo ccykcolombia listo mas 10 mil asistentes educacion superior nafsa16 label; j : 214. Sim : 0.3584038; No similar. 
