Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun dia unparatodos semana feliz uncolombia conoce mas orgulloun video 
 rt hayfestivalesp canada llegan natasha kanape fontaine ingridbee eafit dentro hora haymedellin17 l; j : 133. Sim : 0.1663268; No similar. 
 rectores g8 apoyan medidas adoptadas udea solidarizan comunidad academica ver comunicado labelurl  ; j : 134. Sim : 0.13913746; No similar. 
 rt opcionhoy eafit realizara iii concierto temporada presentara venezolano williams naranjo fecha 9; j : 135. Sim : 0.41349426; No similar. 
 rt grupoargos hoy celebrando apoyo grupoargos centro estudios universidad eafit rodrigo botero labe; j : 136. Sim : 0.32547185; No similar. 
 mintieron pais infundieron miedo clase politica enganado pais defender si cv  ; j : 137. Sim : 0.2714381; No similar. 
 conferencia pasados ontologias alternativas estudio pasado 23 24 marzo mas informacion labelurl  ; j : 138. Sim : 0.35331643; No similar. 
 programateun esperamos bogota 21 oct viene despues habitat iii habitat3followup inscribete labelurl; j : 139. Sim : 0.27467337; No similar. 
 evasion cuesta casi 50 billones pesos pagan impuestos roban plata roba  ; j : 140. Sim : 0.10316716; No similar. 
 rt consejoech pasate viejo verde participa escenario creativo imaginarios visuales colectivos funda; j : 141. Sim : 0.11119142; No similar. 
 conoce mas cantaora guapi cauca video pacifico sur faustina orobio labelurl untelevision  ; j : 142. Sim : 0.42265165; No similar. 
 comienza presentacion libros cabos sueltos eduardo escobar pasos escorpion julio cesar  ; j : 143. Sim : 0.4412119; No similar. 
 inicia lapazenfoco hoy programa cultivos ilicitos propone acuerdo final control piensapazunal  ; j : 144. Sim : 0.21904574; No similar. 
 85 empleos perdidos eua consecuencia maquinas trump mas facil echarle culpa  ; j : 145. Sim : 0.28434098; No similar. 
 rt jrestrp dandole vida acuerdo academico cooperacion exclusiva fcardioinfantil urosarionews emcsur; j : 146. Sim : 0.30615756; No similar. 
 rt obsdemocracia obsdemocracia noticia latinoamerica portal infolatam anticipa resultados historico; j : 147. Sim : 0.35188383; No similar. 
 comunidadun terminar dia conoce mas 100 obras mas importantes pais orgulloun labelurl  ; j : 148. Sim : 0.6475261; Baja. 
 corrupcion mal insufrible entrevista alberto simpser doctor ciencia politica universidad stanford l; j : 149. Sim : 0.23073381; No similar. 
 gestion marca contexto digital articulo convenio pbsedueafit publicado palermo business revie  ; j : 150. Sim : 0.24204028; No similar. 
 programateun hoy visita dr thomas lovejoy enviado especial statedept temas ciencia labelurl  ; j : 151. Sim : 0.291709; No similar. 
 lanzamiento centro mindfulness emcs sonia duran martinez gquinter alexander johannes streubel label; j : 152. Sim : 0.32817394; No similar. 
 terminar gran dia sintoniza programacion unradio labelurl 985unradio unradioweb feliz noche  ; j : 153. Sim : 0.45221677; No similar. 
 descarga aplicacion circularun enterate actividades eventos unparatodos disponible ios android  ; j : 154. Sim : 0.3925535; No similar. 
 feliznoche terminemos semana conociendo repositorio digital metacampusun labelurl feliz fin semana ; j : 155. Sim : 0.4622102; No similar. 
 felizmiercoles unparatodos comenzar gran dia noticias diariamente hacen sentir orgulloun labelurl  ; j : 156. Sim : 0.5771122; Baja. 
 comunidadun escucha unradio descargando nueva app disponible ios android 985unradio labelurl  ; j : 157. Sim : 0.34839106; No similar. 
 feliz noche comunidadun terminemos dia musica unparatodos video playback unmedellin labelurl  ; j : 158. Sim : 0.6510952; Baja. 
 comunidadun feliznoche feliz fin semana proxima semana volvemos mas unparatodos labelurl  ; j : 159. Sim : 0.64001405; Baja. 
 boletinun ver leer escuchar encuentras aqui labelurl untelevision unimedios 985unradio unparatodos ; j : 160. Sim : 0.3391362; No similar. 
 terminar lunes musica unradio emision web labelurl unradioweb feliz noche comunidadun  ; j : 161. Sim : 0.5561931; Baja. 
 buenos dias feliz comienzo semana felizlunes toda comunidadun acompana diariamente labelurl  ; j : 162. Sim : 0.62006724; Baja. 
 rt divcultural video datamatics ryoji ikeda 2011 museodearteun labelurl comisionada producida uncol; j : 163. Sim : 0.35443684; No similar. 
 comunidadun deseamos gran semana comencemos dia informacion unparatodos labelurl unimedios felizlun; j : 164. Sim : 0.6308299; Baja. 
 comunidadun conode informacion ver leer escuchar boletinun labelurl unimedios 985unradio untelevisi; j : 165. Sim : 0.31375954; No similar. 
 comencemos dia informacion ver leer escuchar boletinun labelurl unimedios 985unradio untelevision  ; j : 166. Sim : 0.3789578; No similar. 
 felizlunes feliz comienzo semana toda comunidadun gracias acompanarnos diariamente somosun  ; j : 167. Sim : 0.535738; Baja. 
 felizjueves comenzamos dia informacion unparatodos ver leer escuchar boletinun labelurl unimedios  ; j : 168. Sim : 0.4179269; No similar. 
 terminar dia informacion ver leer escuchar labelurl boletinun unimedios 985unradio untelevision  ; j : 169. Sim : 0.36411464; No similar. 
 feliz comienzo semana comunidadun gran lunes informacion unparatodos labelurl unimedios somosun  ; j : 170. Sim : 0.6230833; Baja. 
 terminar gran dia dejamos unradio programacion cultural musical unparatodos labelurl 985unradio  ; j : 171. Sim : 0.3272182; No similar. 
 comunidadun conoce informacion unparatodos ver leer escuchar labelurl unimedios 985unradio untelevi; j : 172. Sim : 0.45339575; No similar. 
 comunidadun eventos actividades academicas culturales uncolombia estan aqui labelurl circularun unp; j : 173. Sim : 0.44046026; No similar. 
 terminar dia recuerda tambien youtube video labelurl feliz noche comunidadun unparatodos  ; j : 174. Sim : 0.71435964; Media. 
 termina jueves conciertos audiciones queremos ver labelurl metacampusun feliz noche somosun  ; j : 175. Sim : 0.40169913; No similar. 
 comunidadun nueva edicion boletinun ver leer escuchar labelurl unimedios 985unradio untelevision  ; j : 176. Sim : 0.3608662; No similar. 
 terminar dia recuerda tambien youtube video labelurl feliz noche comunidadun unparatodos  ; j : 177. Sim : 0.71435964; Media. 
 encuentra nueva edicion boletinun ver leer escuchar labelurl unimedios 985unradio untelevision  ; j : 178. Sim : 0.3165198; No similar. 
 comunidadun visitaste exposicion museodearteun conoce mas aqui labelurl video divcultural unbogota ; j : 179. Sim : 0.54334694; Baja. 
 comunidadun noticias ver leer escuchar estan boletinun labelurl unimedios 985unradio untelevision  ; j : 180. Sim : 0.37714356; No similar. 
 comunidadun comenzamos dia videos musicaun programa playback labelurl feliz viernes unparatodos  ; j : 181. Sim : 0.61215776; Baja. 
 terminar viernes tener gran fin semana programateun actividades culturales unparatodos labelurl  ; j : 182. Sim : 0.42652175; No similar. 
