Modulo nnlm-es-dim128-with-normalization-2
Topicos : eafit pm hoy esperamos manana rector hoyeneafit be universidad paz auditorio partir juan 
 rt santiagocancion asi lucio leeranaldo thesonicyouth medellin magic poetic gracias eafit postales ; j : 110. Sim : 0.36744532; No similar. 
 hoyeneafit disfruten secuenciacion nanopore bloque 38 auditorio 110 500 pm ver mas labelurl  ; j : 111. Sim : 0.40981102; No similar. 
 jueves eafit pierdan tercera sesion catedra flipeafit esperamos partir 900 be bl labelurl  ; j : 112. Sim : 0.6243937; Baja. 
 hoyeneafit conversatorio movilidad peatonal sera bloque 19501 partir 500 pm entrada libre labelurl ; j : 113. Sim : 0.40284038; No similar. 
 publico conocimiento manana hoy cerca 720 be presento incidente involucro vehiculo carga 2  ; j : 114. Sim : 0.4628288; No similar. 
 rafacamargo5 saludos universidad estara cerrada sabado 400 pm domingo 1100 be 13  ; j : 115. Sim : 0.63279; Baja. 
 olviden pocos minutos comienza eafit conferencia wade davis auditorio fundadores 630 pm  ; j : 116. Sim : 0.5054179; Baja. 
 pierdan proximo lunes 17 julio primer festival musica camara arcos eafit esperamos labelurl  ; j : 117. Sim : 0.5418815; Baja. 
 eafit presentara libro filo hoja proximo 31 julio auditorio fabricato 27 101 labelurl  ; j : 118. Sim : 0.47030643; No similar. 
 rafacamargo5 avenida vegas estara cerrada ambos domingo 945 be despues implosion 23  ; j : 119. Sim : 0.34486082; No similar. 
 adecuado manejo erario publico tema fundamental sociedad universidad juan luis mejia ideaantioquia ; j : 120. Sim : 0.45020366; No similar. 
 eafit esperamos curso aplique paises aporte cooperacion regional america latina caribe unctad  ; j : 121. Sim : 0.5447604; Baja. 
 mediano plazo mafias vuelven logros desarrollo rural marchitan guillermo garcia unodcesp foroungass; j : 122. Sim : 0.29552126; No similar. 
 proximo lunes 17 julio comienza primer festival musica camara arcos eafit falten labelurl  ; j : 123. Sim : 0.4954174; No similar. 
 opcionhoy grupo escenico eafit presenta hoy manana casateatroep obra vacio hora 8pm  ; j : 124. Sim : 0.52442944; Baja. 
 hoyeneafit suzanne osullivan conversacion cristian vargas upegui haymedellin17 entrada libre ver ma; j : 125. Sim : 0.41696808; No similar. 
 caminar usar transporte publico realizar revisiones tecnomecanicas respeto educacion puntos decalog; j : 126. Sim : 0.34545892; No similar. 
 rt jeronimorivera invito conferencia cinebrasileno musical profesor brasileno guilherme maia vestib; j : 127. Sim : 0.42601877; No similar. 
 rt educaunisabana ninos pazconferencia dra elsa castaneda vi congreso internacional pedagogia infan; j : 128. Sim : 0.40429318; No similar. 
 obama quiso establecer perfil politico china respetaran derechos humanos enrique posada ca labelurl; j : 129. Sim : 0.38180795; No similar. 
 rt educaunisabana jesus murillorompe mold habla labor educador infantil consideran reservada mujere; j : 130. Sim : 0.23621634; No similar. 
 rt admonuniandes isdrs2017 open ceremony pablonavasuand rector uniandes walter vermheulen pdte isdr; j : 131. Sim : 0.38165128; No similar. 
 rt pactocolombia hoy diplomado empresas derechos humanos paz cfcecartagena participacion victor hug; j : 132. Sim : 0.5279335; Baja. 
 rt inmotiongroup unimos iniciativa sosporelaire eafit martes deja carro casa aire ciudad nec  ; j : 133. Sim : 0.37563276; No similar. 
 rt telemedellin hoy eafit sera hoy escenario presentar parihueliando vos esperamos 400pm natyroldan; j : 134. Sim : 0.45066643; No similar. 
 cruzrojaantioq hace tras implosion controlada eafit simulacro entrenamiento atencion emergencia est; j : 135. Sim : 0.1519854; No similar. 
 rt corpovisionario hoy inicia diplomado culturaciudadana conferencia inaugural eafit cargo antanasm; j : 136. Sim : 0.44032985; No similar. 
 lunes antanasmockus hablara cultura ciudadana eafit 500 pm entrada libre cc corpovisionario labelur; j : 137. Sim : 0.34348288; No similar. 
 aspiramos ustedes venir eafit experiencia importante vida rector juan luis mejia arango labelurl  ; j : 138. Sim : 0.599997; Baja. 
 rt dagrdmedellin director zapatacamilo socializa plan municipal gestion riesgo desastres eafit herr; j : 139. Sim : 0.2915005; No similar. 
 rt endirectosabana recuerden cita hoy 200 pm auditorio k1 conversaremos delacallehum esperamos cate; j : 140. Sim : 0.587906; Baja. 
 beneficio modelo busca transferir capacidades localidades hacer acuerdos sector privado luis f andr; j : 141. Sim : 0.26751775; No similar. 
 informamos partir momento restablece movilidad av vegas ambos altura eafit cc sttmed  ; j : 142. Sim : 0.31308132; No similar. 
