Modulo nnlm-es-dim128-with-normalization-2
Topicos : noticiaun via colombia uniandes unisabana unimedios mas comsabana hoy 2016 estudiantes anos concierto 
 rt editorialur hoy termina filbo2017 libros destacados debes ir buscar descuentos especiales lee  ; j : 142. Sim : 0.19769567; No similar. 
 rt unisabanaradio estan cordialmente invitados celebrar renovacion sitio web unisabana radio usrser; j : 143. Sim : 0.42782977; No similar. 
 rt apgguzman lucia fraca barrera universidad pedagogica experimental libertador ahora seminario per; j : 144. Sim : 0.30710384; No similar. 
 rt discuniandes invitamos 3er foro ingenieria software proximo 16 agosto forosisis uniandes ingunia; j : 145. Sim : 0.42537898; No similar. 
 mananas gran parte vemos contaminacion emitimos logra salir despues 10 be ca labelurl  ; j : 146. Sim : 0.33382028; No similar. 
 despues 10 anos marisa martins regresa cautivar publico lirica voz junto sinfonicaeafit labelurl  ; j : 147. Sim : 0.41458064; No similar. 
 valor ayudar demas 17 dias diego sierra cirujano clinunisabana realizo cirugias kenia labelurl  ; j : 148. Sim : 0.4189476; No similar. 
 rt consejoech animate participa viernes narracion cuentos taller munecas quitapenas urosarioradio d; j : 149. Sim : 0.35861105; No similar. 
 rt behrentz duda pendiente transmilenio carreraseptima manejo estaciones 200 metros ojo impacto urb; j : 150. Sim : 0.12047365; No similar. 
 libros historia memoria hoy recordamos comunidad hace 68 anos 1949 u dio primera labelurl  ; j : 151. Sim : 0.24678132; No similar. 
 tan facil va ser resocializacion menores farc neila diaz psicosabana1 via eltiempo labelurl  ; j : 152. Sim : 0.39375472; No similar. 
 comunicadores deben tener vision 360 decidir mejor canal transmitir mensaje juan segarra labelurl  ; j : 153. Sim : 0.18745734; No similar. 
 todas herramientas economista van lograr existan medidas sostenibles sociedad maria clara ar labelu; j : 154. Sim : 0.07559384; No similar. 
 rt comsabana acaba arrancar trenusabana rumbo unisabana tiempo estimado recorrido unisabana 59 minu; j : 155. Sim : 0.3838779; No similar. 
 rt tciceu summer school comunita sviluppo locale pronti partire eafitsocial oecdcfe sumschool17 lab; j : 156. Sim : 0.31041968; No similar. 
 articulo eric quintane seleccionado best paper proceed academy of management unidos labelurl  ; j : 157. Sim : 0.12702695; No similar. 
 rt inguniandes directo periscope daniel cadena luisguzman corredores 5to lugar carrerademodossemana; j : 158. Sim : 0.40696526; No similar. 
 rt discuniandes orgullo uniandino articulo seleccionado best paper cibse 2017 inguniandes uniandes ; j : 159. Sim : 0.21540211; No similar. 
 noticiaun reserva van der hammen valiosa joya ambiental gonzaloandradec labelurl via unimedios  ; j : 160. Sim : 0.21918245; No similar. 
 felicitaciones paula andrea roa sanchez geraldine bustos zamora dissertum revistavirtual estudiante; j : 161. Sim : 0.41371614; No similar. 
 hora almorzar visite fopre cafe disfrute variedad platos apoye talento yoapoyoalfopre labelurl  ; j : 162. Sim : 0.10899799; No similar. 
 rt oaduniandes ultimo ayeryhoy ano capilla campito san jose throwbackthursday tbt felizjueves label; j : 163. Sim : 0.39087835; No similar. 
 alturas finales puente vez construido estaran 532m 604 m cumpliendo norma establecida 4  ; j : 164. Sim : 0.18871473; No similar. 
 pregunta parece justificable subirle tarifa tm 10 sitp 17 minimo subio 7  ; j : 165. Sim : 0.1423632; No similar. 
 rt hernanolano recordando viajes pontifexes america elpapacol episcopadocol aleteiaes unisabana cri; j : 166. Sim : 0.3706778; No similar. 
 estudiantes usingenieria construyen carro electrico amigable medio ambiente proximo destino detroit; j : 167. Sim : 0.41537955; No similar. 
 hora almuerzo visite fopre cafe disfrute variedad platos apoye talento yoapoyoalfopre labelurl  ; j : 168. Sim : 0.11889345; No similar. 
 hace 10 anos impensables alcances videojuego comunidad global jaime h borja mediosdigitalesur  ; j : 169. Sim : 0.37197378; No similar. 
 rt usembassybogota promesacontinua2017 realizara trabajo humanitario proveera cuidado medico dental; j : 170. Sim : 0.1499967; No similar. 
 rt usembassybogota agregado militar eeuu colombia agradece apoyo estudiantes universidades mision p; j : 171. Sim : 0.43364742; No similar. 
 subsidiando sistema tm sitp mas 700 mil millones pesos ano enriquepenalosa  ; j : 172. Sim : 0.2801121; No similar. 
 noticiaun manizales red bibliotecas amplia inventario nuevas publicaciones unmanizales labelurl via; j : 173. Sim : 0.4033502; No similar. 
 sabor pais filbo2017 mano chef carlos gaviria autor tecnicas profesionales coci labelurl  ; j : 174. Sim : 0.30258894; No similar. 
 rt mineducacion nochedelosmejores 16 estudiantes bogota 14 estudiantes cali 4 floridablanca mejores; j : 175. Sim : 0.43295863; No similar. 
 rt serpilopaga dudas programa serpilopaga mineducacion dispuesto do lineas telefonicas resuelvas ht; j : 176. Sim : 0.34275383; No similar. 
 rt usingenieria hoy detroit estudiantes visitan thehenryford asisten conferencias automatizacion en; j : 177. Sim : 0.38190246; No similar. 
 articulo unperiodico especial san andres tres anos fallo problematico labelurl uncaribe unimedios  ; j : 178. Sim : 0.47664657; No similar. 
 rt culturauniandes alosandesenbici concierto trio jazz triciclo sala ernesto martin hoy 100pm label; j : 179. Sim : 0.32099026; No similar. 
 caso pobreza extrema reduccion ano 2016 paso 143 141 piedad retrepo labelurl  ; j : 180. Sim : 0.46432975; No similar. 
 felices equipo usingenieria supera 10 pruebas tecnicas clasifica pruebas pista colombia labelurl  ; j : 181. Sim : 0.24900597; No similar. 
 rt juanmansantos revoluciondelainfraestructura genera empleo ampliacion accesos norte bogota creara; j : 182. Sim : 0.3409416; No similar. 
 trabajo investigativo geometria algebraica otorga premio jose fernando escobar profesor matematicas; j : 183. Sim : 0.17388664; No similar. 
 paris estudiantes eicea summer program fashion business ieseg school of management labelurl  ; j : 184. Sim : 0.2753316; No similar. 
 trabajo investigativo geometria algebraica otorga premio jose fernando escobar profesor matematicas; j : 185. Sim : 0.17388664; No similar. 
 dia mundial tabaco 2017 cigarrillo adiccion deja cada ano 7 millones muertes labelurl  ; j : 186. Sim : 0.31916204; No similar. 
 rt comsabana alguno comaudiovisual comsocial estrenara hoy trenusabana camino unisabana faltan 2 ho; j : 187. Sim : 0.3935369; No similar. 
 trabajo investigativo geometria algebraica otorga premio jose fernando escobar profesor matematicas; j : 188. Sim : 0.17388664; No similar. 
 rt jrestrp reconocimiento biciparqueaderos urosarionews sello oro secretariamovdc compromiso medio ; j : 189. Sim : 0.1297695; No similar. 
 constitucion 91 vemos hoy gente pudo retomar espacio politico clara atehortua labelurl  ; j : 190. Sim : 0.32404026; No similar. 
 carlos gaviria profesor gastronomia eicea presenta libro tecnicas profesionales cocina colombiana l; j : 191. Sim : 0.3004522; No similar. 
 rt hernanolano hace minuto salimos itinerario trenusabana trensuburbano unisabana derechousabana tu; j : 192. Sim : 0.22543491; No similar. 
 rt unisabanaradio empieza hacer literatura ficcion naufragar intento historia galeon nelson f pad  ; j : 193. Sim : 0.21022439; No similar. 
 rt oaduniandes bloque ayeryhoy hogar hermanas buen pastor hoy cienbiolandes uniandes throwbackthurs; j : 194. Sim : 0.34629792; No similar. 
 si genera empleo vamos ser capaces pais reducir pobreza brucemacmaster andicolombia labelurl  ; j : 195. Sim : 0.19150943; No similar. 
 libro tecnicas cocina colombiana galardonado mejor libro cocina mundial labelurl via eltiempo  ; j : 196. Sim : 0.25894785; No similar. 
 medida disminuido intensidad lucha incrementado cultivos general r jose leonardo gallego foroungass; j : 197. Sim : 0.115658276; No similar. 
 migremos sistema medicion permita tener menos subjetividad natalia ruiz rodgers vicemineducacion la; j : 198. Sim : 0.26220763; No similar. 
 comsabana sigabienpueda recuerden hoy empezamos elaboracion horarios comsabana siguiendo turnos asi; j : 199. Sim : 0.4171962; No similar. 
 rt monsieurjournal sabana universidad privada mejor reputacion colombia segun rank merco 2016 label; j : 200. Sim : 0.552062; Baja. 
 torre seneca 628 cupos 243 apartamentos inicio funcionamiento cuenta primeros habitante labelurl  ; j : 201. Sim : 0.13051276; No similar. 
 rt behrentz raza grandes niveles resiliencia adaptabilidad enormes deseos superacion mas pesimismo ; j : 202. Sim : 0.21175504; No similar. 
 accion vehiculo carga derribo parte estructura provisional puente registraran lesiones personales 4; j : 203. Sim : 0.1951905; No similar. 
 noticiaun viviendas espacio publico activan entorno estacion metro labelurl via unimedios territori; j : 204. Sim : 0.41159284; No similar. 
 dia mundial tabaco 2017 cada ano cigarrillo deja siete millones muertes labelurl labelurl  ; j : 205. Sim : 0.27545753; No similar. 
 rt comsabana felicidades alumnos comsocial comaudiovisual hoy graduan unisabana inician vida alumn ; j : 206. Sim : 0.47729725; No similar. 
 dia mundial tabaco 2017 cada ano cigarrillo deja siete millones muertes labelurl labelurl  ; j : 207. Sim : 0.27545753; No similar. 
 rt comsabana tercerfiafest gracias hicieron posible fiafest ultimo reto encuentre logos fiafest  ; j : 208. Sim : 0.27147427; No similar. 
 analistas representantes gobierno eeuu hablaron uniandes enfoque trump hacia medio oriente labelurl; j : 209. Sim : 0.22448735; No similar. 
 2015 2016 disminucion inversion vivienda pasando 24 16 2016 piedad retrepo labelurl  ; j : 210. Sim : 0.4803622; No similar. 
 rt uocpsicoedu revista ethe editada uoc uniandes referente mundial educacion labelurl cc uocunivers; j : 211. Sim : 0.26386407; No similar. 
 rumbo espana karen campos enfermeria zeury gelves fisioterapia ganaron beca santander labelurl  ; j : 212. Sim : 0.39722365; No similar. 
 rt fasecoldaoficia unisabana hace lanzamiento cuarta edicion libro seguros temas esenciales labelur; j : 213. Sim : 0.32944578; No similar. 
