Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa pais trabajadores colombia hoy economicos indicadores uso datos presidente tarde 
 usofrenteobrero mintrabajocol sanciono ecopetrolsa tener acuerdo 0177 dar mejores beneficios trabaj; j : 149. Sim : 0.3571587; No similar. 
 andrespardoa fondos acreedores discutiran arreglo argentina evite default si avance labelurl via re; j : 150. Sim : 0.38183522; No similar. 
 andrespardoa 99 mesas contadas juan manuel santos confirmado presidente colombia 509 votos  ; j : 151. Sim : 0.39398623; No similar. 
 oeccuninorte eventouninorte expertos icetex bancorepublica uncolombia estaran foro politicas public; j : 152. Sim : 0.4442279; No similar. 
 camilosilvaj bogota tambien cubriendo asamblea bancosaval equipo valoraanalitik hoy desplegado vari; j : 153. Sim : 0.39662814; No similar. 
 janethnoticias barrancabermeja asi amanecimos banados catalizador ecopetrolsa joder refineria si ne; j : 154. Sim : 0.37119812; No similar. 
 valoraanalitik decidio dividendos pagaran dentro diez primeros dias cada mes acuerdo reglamenta  ; j : 155. Sim : 0.3817525; No similar. 
 spituto firma acuerdo convencional ecopetrolsa gloriosa usofrenteobrero acuerdo tendra vigencia 45 ; j : 156. Sim : 0.3098307; No similar. 
 mayor gloria basa haber fracasado sino habernos levantado cada vez caimos confucio labelurl  ; j : 157. Sim : 0.039464768; No similar. 
 reunion propuesta presidente donald trump xi jinping poner fin disputa comercial pod labelurl  ; j : 158. Sim : 0.26431537; No similar. 
 bla politica monetaria debe tener sano equilibrio objetivos disminuir gap producto consol labelurl ; j : 159. Sim : 0.25469905; No similar. 
 hoy dimos inicio negociacion empresa omia buscamos acordar garantias continuamos manana 9am labelur; j : 160. Sim : 0.48401493; No similar. 
 red contactos buena forma encontrar asociaciones empresariales grupos amigos buscan oportunidades i; j : 161. Sim : 0.3437843; No similar. 
 imassmco pleno lecciones empresariales uniandinos ravilapinto mhcolombia miguel largacha silvia esc; j : 162. Sim : 0.39606166; No similar. 
 industriallgu secretario regional industriall america latina caribe marino vani inicia reunion dire; j : 163. Sim : 0.4204931; No similar. 
 bdesecheverry participo 1er foro yacimientos convencionales retos desafios colombia ecopetrolsa uso; j : 164. Sim : 0.5037793; Baja. 
 palmaedwin siendo 110 be punto acordar convencion colectiva trabajo mas 400 trabajadores confipetro; j : 165. Sim : 0.3544367; No similar. 
 justributaria bloggeros revistadinero si vende ecopetrolsa pierde ingresos habria buscar fuente qu ; j : 166. Sim : 0.35718003; No similar. 
 levantate temprano dale bienvenida nueva semana empezar buena energia creer cada dia labelurl  ; j : 167. Sim : 0.4106986; No similar. 
 andrespardoa colombia vallejo codirector emisor dice q posible tasa neutral bajado 2 real ahora  ; j : 168. Sim : 0.39259145; No similar. 
