Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa pais trabajadores colombia hoy economicos indicadores uso datos presidente tarde anos 
 lozadaosmin usofrenteobrero ecopetrolsa presidente solo respaldar sino tener solidaridad unidad luc; j : 119. Sim : 0.23242344; No similar. 
 termino semana llego momento planear fin semana familia recarguemonos buena energia siempresepuede ; j : 120. Sim : 0.47325528; No similar. 
 mintrabajocol ministra trabajo aliciaarango lidera reunion presidente ecopetrol felipe bayon presid; j : 121. Sim : 0.476959; No similar. 
 palmaedwin navierafluvial solo habilitado transporte hidrocarburos aun asi niega aceptar afiliemos ; j : 122. Sim : 0.2730477; No similar. 
 carlosecaicedo 885599 firmas avaladas registraduria colocan segunda campana mayor apoyo parte co  ; j : 123. Sim : 0.20324433; No similar. 
 intiasprilla mas tres horas debate control politico crisis ambiental pozo lizama sigo espera  ; j : 124. Sim : 0.46636814; No similar. 
 ctcolombia recursos petroleros pueden convertirse futuro energetico alternativo colombia cesar loza; j : 125. Sim : 0.4868123; No similar. 
 usocasabe dia hoy acompanamos trabajadores contraincendio campo casabe atendiendo conflicto laboral; j : 126. Sim : 0.50062686; Baja. 
 frasedeldia muchas malas razones empezar empresa solo buena razon creo sabes cua labelurl  ; j : 127. Sim : 0.253172; No similar. 
 ano nuevo simboliza comienzo manana mejor nuevo comienzo lleno armonia luz anonimo  ; j : 128. Sim : 0.464631; No similar. 
 asefincob felicitaciones union sindical obrera industria petroleo uso usofrenteobrero firma nueva c; j : 129. Sim : 0.45239642; No similar. 
 codirectora ana fernanda maiguashca participa hoy seminario foreign exchange intervention in inflat; j : 130. Sim : 0.33317867; No similar. 
 juankotico porvenir cumplio 20 anos impulsando atletismo colombiano parte aniversario compania pres; j : 131. Sim : 0.5265906; Baja. 
 codirectora ana fernanda maiguashca participa hoy seminario foreign exchange intervention in inflat; j : 132. Sim : 0.33317867; No similar. 
 bogeldorado muestra busca nacionales extranjeros aprecien riqueza arte colombiano minutos gran inau; j : 133. Sim : 0.34467006; No similar. 
 jorgeajurado manana hoy sala laboral tribunal bogota sentencia 2da instancia condeno petrosantander; j : 134. Sim : 0.45097914; No similar. 
 spituto seminario ideologico politico usofrenteobrero servicio ecopetrolsa intervencion dr jorge iv; j : 135. Sim : 0.5594258; Baja. 
 bcavirtual bcavirtual exmagistrado jorge ivan palacio asesor juridico uso negociaciones ecopetrol p; j : 136. Sim : 0.38298932; No similar. 
 bcavirtual bcavirtual video uso explica si posible huelga ecopetrol palmaedwin usofrenteobrero uso ; j : 137. Sim : 0.2637743; No similar. 
 organizacion sindical expresa condolencias ing felipe bayon presidente ecopetrolsa muerte senor pad; j : 138. Sim : 0.4704435; No similar. 
 palmaedwin producimos petroleo producir equidad reducir pobreza eduardo uribe vicepresidente entorn; j : 139. Sim : 0.45624372; No similar. 
 toma pequena pausa empieces nueva tarea tumente necesita momento prepararse cada actividad  ; j : 140. Sim : 0.2654668; No similar. 
 2000depan polyvintage lucaselmostacho bancosaval comin0 juankotico nanymartinis haroletto soyandrej; j : 141. Sim : 0.24950624; No similar. 
 benkosbiohofarc 29evamosporelfiscal robaron reficar asi quedo asunto ahora quieren vender todas emp; j : 142. Sim : 0.29748303; No similar. 
 si administradora pension detecta pago efectuado debe dar aviso incumplimiento empleador ugppcolomb; j : 143. Sim : 0.15544038; No similar. 
 si trabajador detecta empleador hace aportes pension puede denunciarlo ugpp administradora pension ; j : 144. Sim : 0.3208843; No similar. 
 ahora propuestas ecopetrolsa solo sido reducir redistribuir eliminar significa avances somosuso viv; j : 145. Sim : 0.2395774; No similar. 
 jorgeajurado tiempo disparan balas dirigentes carbon apoyaron colombia humana formulan cargos disci; j : 146. Sim : 0.35450327; No similar. 
 tipfinanciero incentiva hijos pensar modelos negocios lleven lleva generar ideas emprendimiento fut; j : 147. Sim : 0.30304605; No similar. 
 importa si entrenas dia noche si amas correr nacion atletismo unete labelurl soylanacion  ; j : 148. Sim : 0.3365257; No similar. 
 usofrenteobrero mintrabajocol sanciono ecopetrolsa tener acuerdo 0177 dar mejores beneficios trabaj; j : 149. Sim : 0.34858525; No similar. 
 andrespardoa fondos acreedores discutiran arreglo argentina evite default si avance labelurl via re; j : 150. Sim : 0.39682227; No similar. 
 andrespardoa 99 mesas contadas juan manuel santos confirmado presidente colombia 509 votos  ; j : 151. Sim : 0.38278913; No similar. 
 oeccuninorte eventouninorte expertos icetex bancorepublica uncolombia estaran foro politicas public; j : 152. Sim : 0.4844893; No similar. 
 camilosilvaj bogota tambien cubriendo asamblea bancosaval equipo valoraanalitik hoy desplegado vari; j : 153. Sim : 0.4019293; No similar. 
