Modulo nnlm-es-dim128-with-normalization-2
Topicos : eafit hoy paz rector universidad pm manana via be 
 eafit invita secuenciacion nanopore 31 julio bloque 38110 500 pm 600 pm labelurl  ; j : 157. Sim : 0.33272833; No similar. 
 hoyeneafit cineclub chaplin obra vida obra charles partir 600 pm entrada libre labelurl  ; j : 158. Sim : 0.39681888; No similar. 
 incremento consumo heroina sera tema decisivo politicas anti drogas franciscocumsi1 cicadoea foroun; j : 159. Sim : 0.2096791; No similar. 
 instalacion taller cargo juan luis mejia rector eafit german jaramillo director ejecutivo  ; j : 160. Sim : 0.5670746; Baja. 
 cruzrojaantioq hace tras implosion controlada eafit simulacro entrenamiento atencion emergencia est; j : 161. Sim : 0.1891072; No similar. 
 opcionhoy grupo escenico eafit presenta hoy manana casateatroep obra vacio hora 8pm  ; j : 162. Sim : 0.5584927; Baja. 
 rosario cordoba juan luis mejia mauricio garcia dialogan momento eafitbogota cultura integracion  ; j : 163. Sim : 0.48927733; No similar. 
 josefina agudelo podemos hacer panorama retador portafolios iniciativas idi ser sostenibles colombi; j : 164. Sim : 0.15047818; No similar. 
 pierdan manana casa museo otraparte presentacion libro sexo saxofon partir 730 pm labelurl  ; j : 165. Sim : 0.49392903; No similar. 
 rt inmotiongroup unimos iniciativa sosporelaire eafit martes deja carro casa aire ciudad nec  ; j : 166. Sim : 0.40195867; No similar. 
 rt upbcolombia pensar problematica calidad aire da espera debemos promover reflexion cadenagaitan s; j : 167. Sim : 0.26707572; No similar. 
 23 25 noviembre pierdan conferencia acceso universal energia america latina ver mas labelurl  ; j : 168. Sim : 0.56797737; Baja. 
 rt elespectador minutos malbarracin generalnietor ficogutierrez general gomez jorge giraldo hablara; j : 169. Sim : 0.4312969; No similar. 
 rt cideruniandes hoy uniandes teorias desarrollo 210 piezas reinvencion concepto luis mauricio cuer; j : 170. Sim : 0.2830593; No similar. 
 rt cesazulce eltiempo unisabana alexandramonto buena conferencia sorprende nivel capacidad conectar; j : 171. Sim : 0.1434652; No similar. 
 hoyeneafit suzanne osullivan conversacion cristian vargas upegui haymedellin17 entrada libre ver ma; j : 172. Sim : 0.43118462; No similar. 
 rt uoclatam finalizamos taller socios redunete uocuniversidad unabonline eafit uniandes uniminutoco; j : 173. Sim : 0.30412725; No similar. 
 lunes antanasmockus hablara cultura ciudadana eafit 500 pm entrada libre cc corpovisionario labelur; j : 174. Sim : 0.41791835; No similar. 
 publico conocimiento manana hoy cerca 720 be presento incidente involucro vehiculo carga 2  ; j : 175. Sim : 0.4744525; No similar. 
 salud publica implica labor orientadas politicas plan construir bienestar rafael tuesta maestriaens; j : 176. Sim : 0.19688474; No similar. 
 enfoque salud publica mas profundo tratamiento personas consumen drogas franciscocumsi1 cicadoea fo; j : 177. Sim : 0.09303864; No similar. 
 cuba fidel castro fallecio isla atesoro bastion socialista occidente labelurl jcmvelandia via eltie; j : 178. Sim : 0.39135674; No similar. 
 hoyeneafit conferencia miguel robles auditorio 19522 600 pm entrada libre invita urbameafit labelur; j : 179. Sim : 0.4388526; No similar. 
 proposito codigo generar confianza sociedad queremos ser policia mas humana generalnietor policiapa; j : 180. Sim : 0.35117155; No similar. 
 eafit invita proximo 31 julio cineclub chaplin vida perro entrada libre esperamos labelurl  ; j : 181. Sim : 0.4810163; No similar. 
 apoyo podemos llegar 10 ahorro energia agua campus activa conciencia dale respiro labelurl  ; j : 182. Sim : 0.30116135; No similar. 
 rt blackboardlatam experto phill miller hablara tedxunisabana lunes 23 mayo stream partir 3pm label; j : 183. Sim : 0.42268413; No similar. 
 desarmados trae memorias conflicto corrido 60 anos pais juan luis mejia arango  ; j : 184. Sim : 0.40505445; No similar. 
 rt bolsamercantil inicia retobolsamercantil rafael mejia pte bolsamercantil hilda arango decana esc; j : 185. Sim : 0.44991818; No similar. 
 rt alcrionegro rionegroaldia programa bici rioes modelo nivel nacionaly cuenta universidad eafitcom; j : 186. Sim : 0.28218353; No similar. 
 expresiones palabras convierten discursos odio violencia juan camilo cardenas decano economiauandes; j : 187. Sim : 0.3272569; No similar. 
 eafit presentara libro filo hoja proximo 31 julio auditorio fabricato 27 101 labelurl  ; j : 188. Sim : 0.50037956; Baja. 
 recuerden hoy casa museo otraparte esperamos presentacion libro fernando gonzalez politica exerior ; j : 189. Sim : 0.48164463; No similar. 
 23 25 noviembre estan invitados conferencia mes2016 acceso universal energia america latin labelurl; j : 190. Sim : 0.54361653; Baja. 
 rt mdpalcol raouf almalki embajador palestina participando conversatorio perspectivas medio oriente; j : 191. Sim : 0.33228678; No similar. 
 rt admonuniandes isdrs2017 open ceremony pablonavasuand rector uniandes walter vermheulen pdte isdr; j : 192. Sim : 0.4132258; No similar. 
 hoy esperamos casa museo otraparte presentacion libro sexo saxofon autor gonzalo arang labelurl  ; j : 193. Sim : 0.43307292; No similar. 
 cristian rojas cpoliticasus si trump gana serian lecciones dejaria eleccion via eltiempo labelurl  ; j : 194. Sim : 0.45485684; No similar. 
 4 30 octubre habra cierres nocturnos av vegas construccion puente peatonal ver mas labelurl  ; j : 195. Sim : 0.44489235; No similar. 
 pierdan proximo lunes 17 julio primer festival musica camara arcos eafit esperamos labelurl  ; j : 196. Sim : 0.5446617; Baja. 
 alejandromllo sttmed saludos ingreso debe ser av regional aun realizan trabajos vegas  ; j : 197. Sim : 0.27454895; No similar. 
 rt orinoquiaceo inicia uniandes foro modelo red empresas sostenibles rede admonuniandes carcundi ba; j : 198. Sim : 0.2143045; No similar. 
 27 31 marzo continua medida pico placa ambiental campus eafit ver mas labelurl  ; j : 199. Sim : 0.45812008; No similar. 
 gran beneficio paz pueblo rural urbano sienta tranquilidad seguridad general edoherrerab beneficios; j : 200. Sim : 0.29396674; No similar. 
 paz colombia foro mujeres detras proceso paz inscribete labelurl manana 730 be audi labelurl  ; j : 201. Sim : 0.573851; Baja. 
 antioquia debatia texto mejia jorge isaacs antonio jose restrepo juan luis mejia  ; j : 202. Sim : 0.45405617; No similar. 
 proximo lunes 17 julio comienza primer festival musica camara arcos eafit falten labelurl  ; j : 203. Sim : 0.532673; Baja. 
