Modulo nnlm-es-dim128-with-normalization-2
Topicos : informe diario inconvenientes 2018 2017 eeuu ofrecemos disculpas 2016 2014 2015 inflacion 
 informe diario julio 16 2014 indices bursatiles alza medio publicacion datos mixtos eeuu labelurl  ; j : 145. Sim : 0.55316985; Baja. 
 monitor banquero central mayo 29 2014 hoy esperamos tasa politica monetaria aumente 375 labelurl  ; j : 146. Sim : 0.23773767; No similar. 
 informe diario julio 21 2014 mercados cierran cifras negativas medio escasa publicacion datos label; j : 147. Sim : 0.4959575; No similar. 
 informe diario febrero 20 2014 indices bursatiles alza medio datos mixtos actividad economica label; j : 148. Sim : 0.46542692; No similar. 
 mediamaratonbog miguel amador carolina tabares integrantes equipo porvenir coronaron campeones carr; j : 149. Sim : 0.060141232; No similar. 
 informe diario febrero 12 2018 banrep tasa repo bajaria si inflacion sigue cayendonlabelurl  ; j : 150. Sim : 0.5107924; Baja. 
 informe diario mayo 26 2014 jornada enmarcada bajos volumenes mercado dia feriado eeuu labelurl  ; j : 151. Sim : 0.4464402; No similar. 
 carlos caballero argaez presenta libro tres banqueros centrales perfiles profesionales ultimos tres; j : 152. Sim : 0.12161017; No similar. 
 informe diario junio 28 2017 eeuu inventarios mayoristas aumentaron 03 mm mayonlabelurl  ; j : 153. Sim : 0.56688714; Baja. 
 informe diario mayo 30 2017 inflacion pce disminuyo 2 pbs abril 17 aanlabelurl  ; j : 154. Sim : 0.6151004; Baja. 
 informe diario septiembre 12 2017 inflacion reino unido acelero agosto 29 aanlabelurl  ; j : 155. Sim : 0.47268987; No similar. 
 informe diario diciembre 12 2018 inflacion ipc eeuu aumento 22 aa noviembrenlabelurl  ; j : 156. Sim : 0.6791338; Media. 
 informe diario julio 31 2017 inflacion nucleo eurozona aumenta 12 aa julionlabelurl  ; j : 157. Sim : 0.5595264; Baja. 
 informe diario octubre 13 2015 inflacion reino unido ubico 01 aa septiembrenlabelurl  ; j : 158. Sim : 0.51225275; Baja. 
 informe diario abril 9 2015 ventas mayoristas eeuu rebotan febrero incremento ventas petroleo label; j : 159. Sim : 0.49021158; No similar. 
 informe diario diciembre 12 2017 ipc reino unido aumento 31 aa noviembrenlabelurl  ; j : 160. Sim : 0.49382433; No similar. 
 informe diario octubre 30 2017 eeuu inflacion pce acelero 16 aa septiembrenlabelurl  ; j : 161. Sim : 0.62284553; Baja. 
 informe diario febrero 13 2018 ipc reino unido mantuvo 30 aa eneronlabelurl  ; j : 162. Sim : 0.49822703; No similar. 
 informe diario diciembre 12 2018 inflacion ipc eeuu aumento 22 aa noviembrenlabelurl  ; j : 163. Sim : 0.6791338; Media. 
 informe diario junio 9 2015 ventas mayoristas eeuu rebotan abril incremento ventas petroleo labelur; j : 164. Sim : 0.48929742; No similar. 
 informe diario marzo 6 2018 eeuu ordenes bienes durables cayeron 36 mm eneronlabelurl  ; j : 165. Sim : 0.4797582; No similar. 
 informe diario julio 18 2016 deficit comercial redujo minimo junio 2014 nlabelurl  ; j : 166. Sim : 0.5455418; Baja. 
 informe diario agosto 28 2017 eeuu deficit balanza comercial bienes aumento julionlabelurl  ; j : 167. Sim : 0.5758441; Baja. 
 informe diario octubre 9 2014 exportaciones alemania caen 58 mm maximo descenso 2009 labelurl  ; j : 168. Sim : 0.44047424; No similar. 
 informe diario octubre 14 2014 produccion industrial eurozona cayo 19 aa agosto labelurl  ; j : 169. Sim : 0.44342276; No similar. 
 informe diario septiembre 7 2016 produccion industrial reino unido crecio 21 aa julionlabelurl  ; j : 170. Sim : 0.3980501; No similar. 
 informe diario noviembre 15 2018 linea estimacion pib crecio 27 aa 3t18nlabelurl  ; j : 171. Sim : 0.5404363; Baja. 
 informe inflacion junio 11 2014 esperamos inflacion junio 030 mm 30 aalabelurl  ; j : 172. Sim : 0.46282935; No similar. 
 informe diario noviembre 15 2018 linea estimacion pib crecio 27 aa 3t18nlabelurl  ; j : 173. Sim : 0.5404363; Baja. 
 informe diario abril 22 2014 mercados expectativa pmi manufacturero china eurozona eeuu labelurl  ; j : 174. Sim : 0.4404193; No similar. 
 informe diario octubre 7 2015 produccion industrial reino unido expandio 19 aa agostonlabelurl  ; j : 175. Sim : 0.34903812; No similar. 
 informe diario noviembre 29 2018 inflacion nucleo pce eeuu debajo objetivo 2nlabelurl  ; j : 176. Sim : 0.6058897; Baja. 
 informe diario febrero 27 2017 eeuu ordenes bienes durables superan expectativas nlabelurl  ; j : 177. Sim : 0.5522222; Baja. 
 informe diario mayo 12 2014 exportaciones fob colombia disminuyeron 45 aa marzo labelurl  ; j : 178. Sim : 0.4607466; No similar. 
 informe diario diciembre 13 2016 reino unido inflacion alcanza maximo octubre 2014nlabelurl  ; j : 179. Sim : 0.5484322; Baja. 
 informe diario junio 13 2017 inflacion reino unido alcanza maximo nivel 2013nlabelurl  ; j : 180. Sim : 0.5403229; Baja. 
 informe diario enero 14 2016 indices bursatiles eeuu registran valorizaciones repunte crudo labelur; j : 181. Sim : 0.55313605; Baja. 
 informe inflacion febrero 12 2014 esperamos inflacion febrero 060 mm 229 aa labelurl  ; j : 182. Sim : 0.45511413; No similar. 
 informe diario mayo 23 2017 eurozona pmi manufacturero alcanzo maximo seis anosnlabelurl  ; j : 183. Sim : 0.47276697; No similar. 
