Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa trabajadores uso hoy colombia pais anos presidente economicos ecopetrol indicadores 
 palmaedwin usofrenteobrero logra primer acuerdo formalizacion 152 trabajadores tercerizados terpelc; j : 127. Sim : 0.2900296; No similar. 
 union sindical obrera subdirectiva arauca emprende campana permita garantizar oportunidades laboral; j : 128. Sim : 0.44961438; No similar. 
 migueramos accion urgente violaciones ddhh corregimiento guayabo municipio puerto wilchesnnvia geam; j : 129. Sim : 0.3636164; No similar. 
 bsintraaval apoya acdac1 perenne lucha paso atras companers justicia social paz labelurl  ; j : 130. Sim : 0.35233325; No similar. 
 portellatelesur hora union sindical obrera manifiesta falta garantias laborales contratistas usofre; j : 131. Sim : 0.49073702; No similar. 
 trabajodecente entrevista ail nesto dice presidente usofrenteobrero cesar loza derrame crudo  ; j : 132. Sim : 0.37501994; No similar. 
 enscolombia entrevista ail nesto dice presidente usofrenteobrero cesar loza derrame crudo  ; j : 133. Sim : 0.30887192; No similar. 
 kikem63 ecopetrolsa usofrenteobrero entonces sientense negociar senores administracion ecp cumplan ; j : 134. Sim : 0.60561883; Baja. 
 hoy atendemos ilegal arbitrario llamamiento descargos hace ecopetrolsa companero edwin castano labe; j : 135. Sim : 0.38009822; No similar. 
 jorgeajurado personero municipal barrancabermeja deberia apegarse verdad descripciones haga cese im; j : 136. Sim : 0.25951338; No similar. 
 echeverry dueno econcept washington buscan inversionistas sector minero energetico sirve lobb label; j : 137. Sim : 0.5296054; Baja. 
 usofrenteobrero seguimos debate enfoque politico negociacion colectiva buscando part mejor propuest; j : 138. Sim : 0.35902756; No similar. 
 vamos defender ecopetrolsa vamos defender patrimonio publico vamos defender pliego peticione labelu; j : 139. Sim : 0.3404654; No similar. 
 usofrenteobrero hecho gran movimiento aspiraciones buscar acuerdos ojala ecopetrolsa buena voluntad; j : 140. Sim : 0.26058844; No similar. 
 franciscoporbta 96 anos lucha defensa patrimonio publico felicitaciones usofrenteobrero ncuentan ob; j : 141. Sim : 0.5187366; Baja. 
